Start Angle,Period,Period Err,Tau,Tau Err
84.59182441004883,0.9336728882586621,0.00040969244486738335,30.154406181166603,2.6252068316890145
61.97946183300883,0.8946813264550284,0.00020221672519050068,50.10715435165105,3.877371125661238
51.17630221560578,0.8767051150775406,0.00014456914931824634,52.292561173850956,3.212712205873205
43.270969526929505,0.8651618300455339,8.906565122875511e-05,53.312886593620604,2.0949991916544066
37.31663588837469,0.8573008756685094,8.3398918202083e-05,53.75899537837276,2.026573874088661
31.630390696998248,0.8521396324830286,0.00012323425668881176,58.989785477655474,3.688118732936847
27.680954562675122,0.8480276408636104,0.00011536550717964823,76.26192454732534,5.815354893023502
24.24289363697253,0.8446452696779376,9.751880362401638e-05,61.35780747996048,3.1979889725952986
-19.22721601850215,0.842404663028379,0.00012406180502687946,57.704018063911676,3.581741096180043
18.89500682591031,0.840690665486305,0.00014407743434386228,57.06938748125812,4.139090303952878
16.93819717330148,0.8391555245404267,0.00010409549725197077,77.04812267561736,5.376519924196176
14.698688622953316,0.8373322910932689,0.0004165700654473568,40.072372306583624,5.890407094721044
12.878925084179023,0.8372866629092295,0.00029181762432948453,68.96224490557245,12.559814907961263
17.5706821600904,0.8363846346462717,0.0018198569026460615,15373570.185059492,2007975720197.5486
12.408568101511957,0.8350612877719864,0.0003430515048230032,44.15483092492028,5.72639766057894
-82.63416208066427,0.9309316243084967,0.0003873785858934483,30.584215857201862,2.5541187866526562
-61.23425329251296,0.8934519319843689,0.00019779477677241304,52.72991419491318,4.264435440144441
-49.55351417775541,0.8759479779208811,0.00013637570381718107,54.92635597723304,3.3396483303126314
-42.39746127559043,0.864732843100931,8.64535933173099e-05,55.32869003148039,2.1847210397991788
-36.07366579593248,0.8570221951054564,8.166511376996248e-05,56.239360912569936,2.1965654313304106
-29.844502761144494,0.85172276730742,0.00011154003977302578,57.86929688915227,3.236534733794642
-25.647504006960677,0.8478847160253478,0.0001196098771242704,76.70502182073943,6.105680221774608
-22.25944084912294,0.8443368108048861,9.924764884681549e-05,64.12286730641748,3.5988334059098
-19.484309867087724,-472.57091680969296,32097300.503158316,4958.209420031859,469114432.70974576
-17.792264571279112,0.8405900719304013,0.00014079395054013776,56.64884900514787,3.925225202581601
-15.711255731977959,0.8390052756722373,0.00010373365231208928,83.69723546010432,6.335006056470069
-13.443897887316485,0.8369105715718271,0.0004172137797085858,35.79792027671418,4.706354761898373
-12.053684339143908,-0.8371191504075997,0.00035247124671036647,59.12859446749745,10.714837669220426
6.716072749439361,0.835546502213942,0.0015115642107618552,26750820.74063857,6561591775332.428
-9.470984419707818,0.8354788537770846,0.0004528339305945419,36.415386155915705,5.05604889082215
