Sensor Position (Degrees),Light Intensity (Volts)
0.0,-0.01663
0.0,-0.01325
0.0,-0.0126
0.0,-0.01534
0.0,-0.01518
0.0,-0.01679
0.0,-0.01743
0.0,-0.01453
0.0,-0.01502
0.0,-0.01292
0.0,-0.01711
0.0,-0.01389
0.0,-0.01469
0.0,-0.01614
0.0,-0.01775
0.0,-0.01679
0.0,-0.01437
0.0,-0.01357
0.0,-0.01904
0.0,-0.01244
0.0,-0.01115
0.0,-0.01196
0.0,-0.01888
0.0,-0.01244
0.0,-0.01341
0.0,-0.01373
0.0,-0.01647
0.0,-0.0089
0.0,-0.00826
0.0,-0.01051
0.0,-0.01373
0.0,-0.0155
0.0,-0.01775
0.0,-0.01807
0.0,-0.01679
0.0,-0.0155
0.0,-0.01228
0.0,-0.01968
0.0,-0.01614
0.0,-0.01244
0.0,-0.01196
0.0,-0.01357
0.0,-0.01405
0.0,-0.01164
0.0,-0.01373
0.0,-0.0126
0.0,-0.01421
0.0,-0.01453
0.0,-0.01131
0.0,-0.0126
0.0,-0.01164
0.0,-0.01341
0.0,-0.0155
0.0,-0.01614
0.0,-0.01775
0.0,-0.0155
0.0,-0.01453
0.0,-0.01582
0.0,-0.01453
0.0,-0.01856
0.0,-0.01469
0.0,-0.01872
0.0,-0.01807
0.0,-0.01308
0.0,-0.01421
0.0,-0.01598
0.0,-0.01968
0.0,-0.01308
0.0,-0.01791
0.0,-0.01614
0.0,-0.0163
0.0,-0.01727
0.0,-0.01389
0.0,-0.01357
0.0,-0.01727
0.0,-0.01727
0.0,-0.01759
0.0,-0.01453
0.0,-0.01244
0.0,-0.01727
0.0,-0.01357
0.0,-0.01486
0.0,-0.01614
0.0,-0.01566
0.0,-0.01486
0.0,-0.01679
0.0,-0.01276
0.0,-0.01469
0.0,-0.01647
0.0,-0.01759
0.0,-0.01437
0.0,-0.01614
0.0,-0.01534
0.0,-0.01518
0.0,-0.01437
0.0,-0.0163
0.0,-0.01357
0.0,-0.01856
0.0,-0.02033
0.0,-0.02017
0.0,-0.0192
0.0,-0.01469
0.0,-0.01292
0.0,-0.01325
0.0,-0.01389
0.0,-0.0155
0.0,-0.01727
0.0,-0.01083
0.0,-0.01164
0.0,-0.01341
0.0,-0.01695
0.0,-0.00987
0.0,-0.01695
0.0,-0.01196
0.0,-0.01518
0.0,-0.01389
-0.01015,-0.01824
-0.01015,-0.0155
-0.01015,-0.0155
-0.01015,-0.01888
-0.01015,-0.0163
-0.01015,-0.02001
-0.01015,-0.02017
-0.01015,-0.02129
0.0,-0.01791
0.0,-0.0163
0.0,-0.01679
0.0,-0.0155
0.0,-0.01904
0.0,-0.01341
0.0,-0.01663
0.0,-0.01469
0.0,-0.01421
0.0,-0.01759
0.0,-0.01791
0.0,-0.01405
0.0,-0.01453
0.0,-0.0163
0.0,-0.01469
0.0,-0.01775
-0.01015,-0.01566
-0.0203,-0.02033
-0.0203,-0.01502
-0.0203,-0.0155
-0.0203,-0.0192
-0.0203,-0.02081
-0.0203,-0.02145
-0.0203,-0.01888
-0.0203,-0.01469
-0.0203,-0.01727
-0.0203,-0.01985
