Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.02828
0.0,0.02635
0.0,0.02651
0.0,0.02683
0.0,0.0249
0.0,0.02555
0.0,0.02876
0.0,0.02651
0.0,0.02715
0.0,0.03005
0.0,0.02683
0.0,0.0241
0.0,0.02458
0.0,0.0278
0.0,0.02635
0.0,0.0278
0.0,0.02796
0.0,0.03021
0.0,0.02538
0.0,0.02828
0.0,0.02699
0.0,0.02152
0.0,0.02619
0.0,0.02989
0.0,0.02056
0.0,0.02764
0.0,0.02683
0.0,0.02313
0.0,0.02651
0.0,0.02989
0.0,0.02989
0.0,0.02651
0.0,0.02667
0.0,0.02442
0.0,0.02571
0.0,0.02893
0.0,0.02683
0.0,0.03037
0.0,0.02667
0.0,0.02571
0.0,0.02973
0.0,0.03005
0.0,0.02796
0.0,0.0278
0.0,0.02458
0.0,0.02796
0.01015,0.02651
0.0,0.0241
0.0,0.02683
0.0,0.0278
0.01015,0.02377
0.0,0.02893
0.0,0.02394
0.01015,0.02072
0.0,0.02587
0.0,0.0286
0.01015,0.02651
0.01015,0.02957
0.0,0.0249
0.0,0.02603
0.01015,0.01959
0.0,0.02764
0.0,0.02329
0.0,0.0249
0.0,0.0241
0.0,0.02893
0.0,0.02715
0.0,0.02715
0.0,0.0286
0.0,0.02603
0.0,0.02538
0.0,0.02152
0.0,0.02635
0.0,0.02571
0.0,0.02812
0.0,0.02941
0.0,0.02828
0.0,0.02619
0.0,0.02748
0.0,0.02925
0.0,0.02989
0.0,0.02732
0.0,0.02764
0.0,0.02925
0.0,0.0278
0.0,0.03021
0.0,0.02764
0.0,0.02989
0.0,0.02442
0.0,0.02796
0.0,0.02426
0.0,0.02667
0.0,0.02941
0.0,0.02893
0.0,0.02217
0.0,0.0249
0.0,0.02796
0.0,0.03053
0.0,0.02844
0.0,0.02844
0.0,0.02941
0.0,0.02184
0.0,0.02538
0.0,0.02394
0.0,0.02683
0.0,0.01959
0.0,0.02796
0.0,0.02506
0.0,0.02748
0.0,0.02233
0.0,0.02699
0.0,0.02555
0.0,0.02796
0.0,0.02812
0.0,0.02748
0.0,0.03134
0.0,0.03231
0.0,0.02941
0.0,0.02699
0.0,0.02506
0.0,0.03053
0.0,0.02876
0.0,0.0241
0.0,0.02506
0.0,0.02394
0.0,0.02699
0.0,0.02233
0.0,0.02442
0.0,0.0249
0.0,0.02442
0.0,0.02281
0.0,0.02007
0.0,0.02088
0.0,0.02039
0.0,0.02715
0.0,0.01846
0.0,0.02426
0.0,0.02426
0.0,0.02699
0.0,0.02265
0.0,0.02281
0.0,0.02184
0.0,0.02152
0.0,0.02458
0.0,0.02667
0.0,0.02651
0.0,0.02313
0.0,0.02796
0.0,0.02297
0.0,0.02297
0.0,0.02136
0.0,0.02796
0.0,0.02442
0.0,0.02152
0.0,0.01846
0.0,0.02522
0.0,0.02345
0.0,0.02297
0.0,0.02458
0.0,0.02876
0.0,0.02748
0.0,0.02796
0.0,0.02023
0.0,0.022
0.0,0.02394
0.0,0.02361
0.0,0.02555
0.0,0.01637
0.0,0.02297
0.0,0.02587
0.0,0.02281
0.0,0.02056
0.0,0.02313
0.0,0.02233
0.0,0.02909
0.0,0.02876
0.0,0.02377
0.0,0.02732
0.0,0.02442
0.0,0.02313
0.0,0.02426
0.0,0.02281
0.0,0.02506
0.0,0.02313
0.0,0.02233
0.0,0.02281
0.0,0.02345
0.0,0.02249
0.0,0.02715
0.0,0.02458
0.0,0.02377
0.0,0.02281
0.0,0.02072
0.0,0.02571
0.0,0.0286
0.0,0.02313
0.0,0.0212
0.0,0.02587
0.0,0.02345
0.0,0.01943
0.0,0.02732
0.0,0.02426
0.0,0.02056
0.0,0.02023
0.0,0.02217
0.0,0.02377
0.0,0.02072
0.0,0.02136
0.0,0.02699
0.0,0.02297
0.0,0.0212
0.0,0.02313
0.0,0.02474
0.0,0.0241
0.0,0.02361
0.0,0.02329
0.0,0.01878
0.0,0.02667
0.0,0.02426
0.0,0.02522
0.0,0.0241
0.0,0.02023
0.0,0.02506
0.0,0.0241
0.0,0.02233
0.0,0.02265
0.0,0.02168
0.0,0.02297
0.0,0.01685
0.0,0.02458
0.0,0.02587
0.0,0.02072
0.0,0.0183
-0.01015,0.01846
-0.0203,0.02313
-0.0203,0.02394
-0.0203,0.0249
-0.0203,0.02715
-0.0203,0.02072
-0.0203,0.02426
-0.01015,0.02635
-0.01015,0.02297
-0.0203,0.02329
-0.0203,0.02732
-0.0203,0.01943
-0.03046,0.01701
-0.04061,0.02442
-0.04061,0.0278
-0.04061,0.01927
-0.04061,0.02104
-0.04061,0.022
-0.04061,0.02249
-0.04061,0.02538
-0.04061,0.02249
-0.04061,0.0183
-0.04061,0.02313
-0.04061,0.02297
-0.04061,0.02442
-0.04061,0.02265
-0.04061,0.01846
-0.04061,0.02442
-0.04061,0.02088
-0.04061,0.02088
-0.04061,0.02538
-0.04061,0.02056
-0.04061,0.02152
-0.04061,0.0249
-0.04061,0.02072
-0.04061,0.02377
-0.04061,0.02039
-0.04061,0.01862
-0.04061,0.02168
-0.04061,0.02249
-0.04061,0.01878
-0.04061,0.01782
-0.04061,0.01927
-0.03046,0.01508
-0.03046,0.02007
-0.0203,0.02007
-0.0203,0.01637
-0.01015,0.01685
0.0,0.01766
0.0,0.02007
0.0,0.0183
0.0,0.01927
0.01015,0.02281
0.0203,0.02603
0.04061,0.01331
0.07107,0.02023
0.09137,0.01911
0.2132,0.02023
0.30457,0.0175
0.34518,0.02088
0.49746,0.0183
0.58883,0.02136
0.62944,0.02136
0.74112,0.01669
0.80203,0.022
0.84264,0.02217
0.98477,0.02313
1.08629,0.01701
1.13706,0.02329
1.28934,0.02345
1.42132,0.02265
1.48223,0.02345
1.64467,0.02426
1.77665,0.02136
1.81726,0.02313
2.01015,0.02136
2.13198,0.01911
2.19289,0.02088
2.32487,0.02394
2.39594,0.02265
2.41624,0.02265
2.56853,0.01685
2.64975,0.01814
2.71066,0.02152
2.8934,0.02007
3.03553,0.01927
3.1066,0.02088
3.32995,0.02104
3.49239,0.022
3.5736,0.02297
3.7868,0.02442
3.94924,0.02281
4.0203,0.01911
4.19289,0.02168
4.31472,0.02136
4.35533,0.02023
4.54822,0.0212
4.6802,0.02522
4.75127,0.01846
4.96447,0.02538
5.11675,0.02506
5.17766,0.02538
5.3401,0.02377
5.45178,0.0249
5.49239,0.02635
5.62437,0.02184
5.70558,0.02732
5.73604,0.0241
5.84772,0.022
5.90863,0.02571
5.94924,0.02265
6.04061,0.02265
6.10152,0.02973
6.11168,0.02039
6.17259,0.02667
6.24365,0.02587
6.25381,0.02538
6.37563,0.02732
6.45685,0.02506
6.48731,0.02683
6.59898,0.02635
6.67005,0.02957
6.69036,0.0241
6.80203,0.02458
6.8934,0.02651
6.93401,0.02506
7.05584,0.02635
7.1066,0.02345
7.1269,0.02909
7.20812,0.02394
7.25888,0.02812
7.28934,0.02088
7.38071,0.02876
7.45178,0.022
7.48223,0.02233
7.59391,0.02522
7.63452,0.02329
7.68528,0.02925
7.79695,0.02651
7.86802,0.02699
7.90863,0.02893
8.0,0.02683
8.03046,0.02635
8.05076,0.02538
8.07107,0.02217
8.07107,0.02683
8.07107,0.0286
8.06091,0.02812
8.06091,0.02715
8.07107,0.02635
8.08122,0.0286
8.12183,0.0212
8.16244,0.02522
8.16244,0.01685
8.24365,0.02168
8.28426,0.02796
8.39594,0.02651
8.46701,0.02104
8.51777,0.02748
8.62944,0.02056
8.72081,0.02458
8.75127,0.0212
8.85279,0.02217
8.91371,0.02506
8.95431,0.02394
9.03553,0.0212
9.09645,0.0249
9.1269,0.02748
9.23858,0.02651
9.30964,0.02345
9.3401,0.02233
9.45178,0.02426
9.52284,0.02667
9.58376,0.02394
9.71574,0.02619
9.81726,0.01895
9.86802,0.02265
10.0,0.02394
10.09137,0.02925
10.12183,0.02281
10.2132,0.02442
10.27411,0.02088
10.29442,0.02732
10.38579,0.02184
10.43655,0.0241
10.4467,0.02522
10.49746,0.02699
10.52792,0.02249
10.54822,0.02297
10.60914,0.02249
10.64975,0.02426
10.67005,0.02345
10.74112,0.02683
10.79188,0.0249
10.82234,0.02426
10.88325,0.02345
10.92386,0.02812
10.94416,0.02345
11.00508,0.02506
11.04569,0.02683
11.05584,0.02474
11.13706,0.02764
11.17766,0.0278
11.20812,0.02249
11.28934,0.02217
11.35025,0.02844
11.38071,0.0249
11.46193,0.02313
11.49239,0.02957
11.50254,0.02297
11.5736,0.02104
11.63452,0.02699
11.66497,0.02394
11.7665,0.02764
11.84772,0.02699
11.86802,0.02023
11.9797,0.02297
12.05076,0.02361
12.08122,0.02426
12.16244,0.02217
12.24365,0.0241
12.26396,0.02377
12.35533,0.02039
12.4264,0.02361
12.45685,0.02715
12.55838,0.02764
12.62944,0.02619
12.6599,0.02619
12.78173,0.02619
12.83249,0.02184
12.88325,0.02426
12.99492,0.02844
13.08629,0.02555
13.11675,0.03102
13.24873,0.02651
13.32995,0.02603
13.36041,0.02619
13.47208,0.02732
13.5533,0.02715
13.58376,0.02587
13.67513,0.02458
13.73604,0.02844
13.7665,0.02683
13.82741,0.02458
13.87817,0.02313
13.89848,0.02361
13.9797,0.02313
14.04061,0.03102
14.06091,0.02732
14.16244,0.02522
14.25381,0.02619
14.30457,0.02361
14.45685,0.022
14.56853,0.02667
14.61929,0.02265
14.76142,0.0241
14.86294,0.02394
14.91371,0.0286
15.02538,0.02394
15.11675,0.02732
15.14721,0.02893
15.29949,0.02361
15.41117,0.02876
15.46193,0.022
15.61421,0.0241
15.71574,0.02603
15.7665,0.02619
15.90863,0.03118
15.98985,0.02458
16.0203,0.02732
16.13198,0.02828
16.2132,0.02699
16.25381,0.03086
16.39594,0.02619
16.48731,0.02989
16.52792,0.02667
16.64975,0.02313
16.74112,0.0278
16.79188,0.03005
16.94416,0.02893
17.04569,0.03086
17.08629,0.0315
17.20812,0.03198
17.29949,0.02361
17.36041,0.03037
17.58376,0.02941
17.74619,0.02651
17.83756,0.02828
18.04061,0.02699
18.14213,0.03134
18.18274,0.0352
18.27411,0.03392
18.31472,0.03198
18.36548,0.03456
18.47716,0.03858
18.55838,0.03858
18.59898,0.03617
18.75127,0.04293
18.80203,0.04212
18.84264,0.04599
19.02538,0.04953
19.14721,0.05339
19.25888,0.05597
19.50254,0.07287
19.58376,0.07753
19.69543,0.08928
19.85787,0.10393
19.94924,0.12115
20.03046,0.13081
20.16244,0.14884
20.26396,0.16123
20.34518,0.17669
20.49746,0.21548
20.54822,0.22562
20.61929,0.24075
20.75127,0.27165
20.80203,0.28099
20.85279,0.29757
20.93401,0.32219
20.98477,0.33362
21.02538,0.34972
21.15736,0.3679
21.22843,0.3774
21.32995,0.38835
21.54315,0.41297
21.65482,0.41973
21.74619,0.42521
21.95939,0.42778
22.04061,0.42408
22.12183,0.41539
22.22335,0.40927
22.30457,0.40042
22.33503,0.39221
22.48731,0.37643
22.57868,0.35438
22.61929,0.35197
22.75127,0.32074
22.85279,0.30143
22.90355,0.29
23.06599,0.25733
23.17766,0.23383
23.21827,0.21886
23.3401,0.18683
23.45178,0.17331
23.48223,0.1688
23.62437,0.14626
23.72589,0.1255
23.7665,0.11938
23.88832,0.09508
23.98985,0.09025
24.04061,0.0859
24.18274,0.07238
24.28426,0.06949
24.32487,0.06096
24.4467,0.05243
24.52792,0.05178
24.56853,0.05114
24.69036,0.04583
24.78173,0.04518
24.81218,0.04309
24.93401,0.0373
25.00508,0.0381
25.03553,0.03247
25.14721,0.03665
25.21827,0.03488
25.24873,0.03424
25.32995,0.03456
25.40102,0.03504
25.44162,0.03005
25.52284,0.03633
25.58376,0.03214
25.62437,0.03424
25.69543,0.02893
25.75635,0.03166
25.7868,0.03198
25.88832,0.0307
25.95939,0.0315
25.98985,0.02925
26.03046,0.03102
26.05076,0.02973
26.06091,0.03102
26.09137,0.03247
26.11168,0.03359
26.12183,0.0315
26.16244,0.02748
26.2132,0.03037
26.2335,0.03134
26.30457,0.02909
26.35533,0.03021
26.39594,0.03005
26.51777,0.0249
26.62944,0.03231
26.6802,0.03005
26.90355,0.03102
27.03553,0.03263
27.09645,0.02442
27.28934,0.03343
27.41117,0.02796
27.46193,0.02909
27.62437,0.0286
27.72589,0.03424
27.77665,0.02925
27.90863,0.0286
27.98985,0.03263
28.0203,0.02876
28.12183,0.02764
28.18274,0.03359
28.2132,0.03005
28.31472,0.0307
28.41624,0.02715
28.45685,0.03569
28.62944,0.0315
28.78173,0.03375
28.84264,0.03053
29.07614,0.0315
29.20812,0.03214
29.26904,0.03118
29.43147,0.02667
29.5533,0.03424
29.60406,0.02635
29.74619,0.03182
29.84772,0.03311
29.90863,0.03005
30.09137,0.03037
30.19289,0.03118
30.25381,0.0307
30.40609,0.02941
30.54822,0.02844
30.61929,0.03102
30.82234,0.02844
30.96447,0.02957
31.01523,0.03214
31.22843,0.02989
31.36041,0.03118
31.44162,0.03053
31.60406,0.03086
31.71574,0.03295
31.77665,0.03021
31.92893,0.02989
32.03046,0.03263
32.08122,0.02828
32.18274,0.03343
32.26396,0.0307
32.31472,0.03231
32.47716,0.02973
32.58883,0.02925
32.63959,0.02941
32.77157,0.03295
32.88325,0.02893
32.94416,0.02957
33.13706,0.0315
33.22843,0.03231
33.26904,0.02522
33.40102,0.03086
33.48223,0.03037
33.52284,0.0286
33.64467,0.02796
33.71574,0.03182
33.75635,0.02828
33.87817,0.02796
33.9797,0.03053
34.0203,0.02876
34.2335,0.02715
34.40609,0.03247
34.49746,0.02748
34.72081,0.02619
34.86294,0.03456
34.93401,0.03247
35.13706,0.02828
35.26904,0.03295
35.32995,0.03166
35.52284,0.03263
35.60406,0.02812
35.65482,0.03198
35.77665,0.03552
35.83756,0.03037
35.87817,0.03279
36.01015,0.0315
36.12183,0.03086
36.17259,0.03408
36.34518,0.03166
36.4467,0.03359
36.48731,0.03488
36.6599,0.0344
36.77157,0.02828
36.83249,0.0307
36.98477,0.03472
37.08629,0.03665
37.14721,0.03601
37.29949,0.03359
37.38071,0.03456
37.44162,0.03536
37.56345,0.03021
37.65482,0.03134
37.69543,0.03488
37.87817,0.03102
38.04061,0.03053
38.16244,0.03231
38.4264,0.0373
38.57868,0.03198
38.6599,0.03472
38.8934,0.03053
39.01523,0.03987
39.07614,0.03327
39.30964,0.03456
39.44162,0.03359
39.50254,0.03231
39.66497,0.03198
39.73604,0.0373
39.75635,0.03214
39.84772,0.04084
39.90863,0.03536
39.93909,0.03826
40.06091,0.0381
40.16244,0.03327
40.2132,0.03713
40.33503,0.03665
40.4264,0.03826
40.46701,0.03231
40.59898,0.0344
40.70051,0.0344
40.73096,0.0352
40.8934,0.03601
41.01523,0.04035
41.05584,0.03713
41.20812,0.03746
41.32995,0.0352
41.39086,0.03327
41.54315,0.03279
41.68528,0.03552
41.73604,0.0381
41.89848,0.03536
42.0203,0.03665
42.05076,0.03569
42.22335,0.03842
42.35533,0.03649
42.41624,0.03456
42.59898,0.03826
42.74112,0.03681
42.79188,0.03375
42.92386,0.03198
42.97462,0.03472
42.99492,0.0352
43.07614,0.02989
43.14721,0.03649
43.16751,0.03746
43.26904,0.03552
43.36041,0.03601
43.39086,0.03762
43.56345,0.03536
43.70558,0.03713
43.7665,0.03874
43.98985,0.04019
44.13198,0.03746
44.2132,0.03778
44.43655,0.03408
44.57868,0.03907
44.63959,0.0389
44.82234,0.0389
44.93401,0.03488
44.98477,0.03343
45.05584,0.03118
45.1066,0.03649
45.13706,0.0389
45.23858,0.03939
45.29949,0.03858
45.32995,0.03762
45.39086,0.03408
45.45178,0.03327
45.49239,0.03939
45.62437,0.04035
45.73604,0.03858
45.79695,0.03649
45.94924,0.03713
46.05076,0.03585
46.12183,0.03649
46.28426,0.03842
46.37563,0.03295
46.41624,0.03907
46.53807,0.03971
46.63959,0.04068
46.6802,0.03247
46.84264,0.0381
46.93401,0.03569
46.96447,0.03907
47.06599,0.03713
47.13706,0.03681
47.15736,0.03923
47.27919,0.03794
47.40102,0.041
47.44162,0.03762
47.68528,0.03601
47.85787,0.03585
47.93909,0.0381
48.13198,0.0389
48.24365,0.04454
48.27411,0.03681
48.39594,0.03971
48.46701,0.03504
48.48731,0.03617
48.55838,0.03601
48.61929,0.03858
48.64975,0.03408
48.76142,0.03392
48.83249,0.03617
48.85279,0.03778
48.96447,0.04084
49.04569,0.03311
49.09645,0.03907
49.21827,0.0389
49.29949,0.03794
49.3198,0.03713
49.42132,0.03746
49.48223,0.03536
49.52284,0.03794
49.62437,0.03359
49.69543,0.03939
49.70558,0.04068
49.7868,0.03874
49.82741,0.03617
49.83756,0.03713
49.89848,0.03778
49.95939,0.0315
49.98985,0.04003
50.07107,0.03504
50.13198,0.0389
50.15228,0.03585
50.24365,0.03569
50.30457,0.03392
50.32487,0.0373
50.4264,0.0381
50.47716,0.03955
50.49746,0.03472
50.57868,0.0373
50.64975,0.04019
50.6802,0.03987
50.79188,0.03681
50.86294,0.03504
50.90355,0.0373
51.01523,0.03649
51.09645,0.03681
51.1269,0.03713
51.22843,0.03681
51.3198,0.03681
51.36041,0.04148
51.47208,0.03778
51.5533,0.0389
51.58376,0.03134
51.70558,0.0373
51.75635,0.03359
51.77665,0.03697
51.85787,0.04084
51.92893,0.03681
51.96954,0.03681
52.04061,0.03907
52.06091,0.03569
52.07107,0.03826
52.13198,0.04373
52.19289,0.03955
52.2335,0.0381
52.36548,0.03713
52.4467,0.03923
52.48731,0.03552
52.61929,0.03472
52.77157,0.03762
52.82234,0.04132
53.03553,0.04019
53.13706,0.03939
53.16751,0.03633
53.23858,0.03826
53.26904,0.03633
53.26904,0.03279
53.27919,0.03456
53.28934,0.03874
53.30964,0.03601
53.32995,0.03681
53.43147,0.03488
53.51269,0.03247
53.5533,0.04019
53.64467,0.03939
53.70558,0.03166
53.72589,0.03858
53.80711,0.0373
53.84772,0.03971
53.86802,0.03182
53.94924,0.03536
54.01015,0.03842
54.03046,0.03665
54.12183,0.03359
54.20305,0.04051
54.2335,0.03617
54.38579,0.03536
54.47716,0.03633
54.51777,0.03408
54.67005,0.03746
54.76142,0.03874
54.80203,0.03681
54.90355,0.04212
54.97462,0.03633
55.02538,0.04084
55.1269,0.03536
55.19797,0.03713
55.23858,0.04051
55.29949,0.03665
55.32995,0.0373
55.3401,0.03713
55.41117,0.03585
55.47208,0.041
55.50254,0.03601
55.61421,0.03907
55.70558,0.03778
55.74619,0.03858
55.87817,0.03987
55.96954,0.03874
56.01015,0.03746
56.13198,0.03408
56.18274,0.03504
56.2132,0.03456
56.31472,0.03858
56.38579,0.03955
56.4264,0.03778
56.53807,0.03762
56.61929,0.03955
56.63959,0.03552
56.77157,0.03585
56.8731,0.04245
56.92386,0.03762
57.04569,0.03488
57.1066,0.03858
57.13706,0.03762
57.22843,0.03552
57.29949,0.03488
57.32995,0.04084
57.40102,0.03746
57.44162,0.03794
57.48223,0.03762
57.60406,0.03408
57.71574,0.03907
57.7665,0.03569
57.90863,0.03424
58.01015,0.03697
58.06091,0.0352
58.17259,0.04019
58.24365,0.03343
58.29442,0.03939
58.40609,0.0389
58.45685,0.03778
58.48731,0.03987
58.57868,0.04051
58.64975,0.0381
58.69036,0.03778
58.84264,0.03939
58.94416,0.04132
58.99492,0.03552
59.14721,0.03633
59.23858,0.04116
59.25888,0.03569
59.42132,0.03681
