Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.01122
0.0,0.00881
0.0,0.00913
0.0,0.01122
0.0,0.01138
0.0,0.01202
0.0,0.01251
0.0,0.00768
0.0,0.00655
0.0,0.00736
0.0,0.00623
0.0,0.00897
0.0,0.00832
0.0,0.01331
0.0,0.01186
0.0,0.01412
0.0,0.00913
0.0,0.00897
0.0,0.008
0.0,0.0072
0.0,0.00671
0.0,0.00848
0.0,0.01025
0.0,0.01122
0.0,0.00945
0.0,0.01138
0.0,0.00816
0.0,0.0072
0.0,0.01154
0.0,0.01154
0.0,0.00784
0.0,0.00977
0.0,0.00752
0.0,0.00478
0.0,0.00703
0.0,0.00752
0.0,0.01508
0.0,0.00881
0.0,0.01202
0.0,0.0072
0.0,0.01396
0.0,0.01347
0.0,0.00736
0.0,0.01009
0.0,0.01074
0.0,0.00655
0.0,0.0109
0.0,0.00913
0.0,0.00961
0.0,0.01138
0.0,0.008
0.0,0.00269
0.0,0.01058
0.0,0.00832
0.0,0.01186
0.0,0.00929
0.0,0.01009
0.0,0.00881
0.0,0.01219
0.0,0.00848
0.0,0.00816
0.0,0.00977
0.0,0.00752
0.0,0.00977
0.0,0.01219
0.0,0.01122
0.0,0.00881
0.0,0.00848
0.0,0.01122
0.0,0.00752
0.0,0.00462
0.0,0.01219
0.0,0.01283
0.0,0.00575
0.0,0.01009
0.0,0.00687
0.0,0.01009
0.0,0.00881
0.0,0.00993
0.0,0.00703
0.0,0.01025
0.0,0.00832
0.0,0.00736
0.0,0.00671
0.0,0.00832
0.0,0.00848
0.0,0.00848
0.0,0.00961
0.0,0.00897
0.0,0.01283
0.0,0.00333
0.0,0.00897
0.0,0.00687
0.0,0.01235
0.0,0.00961
0.0,0.01283
0.0,0.0051
0.0,0.01251
0.0,0.01122
0.0,0.00414
0.0,0.01202
0.0,0.00945
0.0,0.00993
0.0,0.00977
0.0,0.00816
0.0,0.00333
0.0,0.00993
0.0,0.00848
0.0,0.00961
0.0,0.01042
0.0,0.00864
0.0,0.01106
0.0,0.008
0.0,0.00832
0.0,0.00816
0.0,0.00929
0.0,0.008
0.0,0.01235
0.0,0.0072
-0.01015,0.0109
-0.0203,0.0109
-0.0203,0.01138
-0.0203,0.00526
0.0,0.00913
0.0,0.00382
0.0,0.0072
0.0,0.008
0.0,0.0072
0.0,0.0109
0.0,0.01122
0.0,0.00671
0.0,0.00752
0.0,0.01009
0.0,0.00671
0.0,0.01009
0.0,0.00832
0.0,0.00784
0.0,0.00494
0.0,0.00607
0.0,0.00897
0.0,0.00993
0.0,0.00671
0.0,0.00736
0.0,0.00559
0.0,0.01251
0.0,0.00945
0.0,0.01042
-0.0203,0.00848
-0.04061,0.01202
-0.05076,0.00913
-0.11168,0.00414
-0.12183,0.01138
-0.12183,0.01042
-0.10152,0.01058
-0.10152,0.00655
-0.10152,0.00848
-0.10152,0.00752
-0.10152,0.01025
-0.10152,0.00816
-0.10152,0.00285
-0.10152,0.00784
-0.10152,0.00784
-0.10152,0.00848
-0.10152,0.01154
-0.10152,0.01154
-0.10152,0.01009
-0.10152,0.01154
-0.10152,0.01363
-0.10152,0.01058
-0.10152,0.01074
-0.10152,0.01009
-0.10152,0.00993
-0.10152,0.01025
-0.09137,0.00913
-0.06091,0.00752
-0.0203,0.01122
0.0203,0.00543
0.07107,0.01009
0.14213,0.0051
0.18274,0.00752
0.32487,0.01653
0.46701,0.01025
0.52792,0.01074
0.77157,0.01186
0.99492,0.00897
1.08629,0.01154
1.29949,0.00784
1.47208,0.01219
1.53299,0.00881
1.77665,0.00881
1.93909,0.00671
2.01015,0.00881
2.22335,0.00816
2.35533,0.008
2.40609,0.01074
2.61929,0.01009
2.77157,0.01267
2.84264,0.008
3.03553,0.01347
3.17766,0.00897
3.23858,0.01331
3.44162,0.00752
3.59391,0.01106
3.70558,0.01009
3.9797,0.00993
4.19289,0.01138
4.31472,0.00832
4.54822,0.01106
4.69036,0.00993
4.75127,0.01219
4.95431,0.00913
5.1066,0.01025
5.16751,0.0146
5.39086,0.01283
5.54315,0.00913
5.61421,0.01202
5.84772,0.00639
5.98985,0.01283
6.07107,0.01138
6.27411,0.00848
6.38579,0.01122
6.4467,0.00832
6.60914,0.00897
6.72081,0.01267
6.76142,0.01122
6.91371,0.01251
7.01523,0.0138
7.07614,0.01283
7.24873,0.00977
7.38071,0.01315
7.44162,0.0146
7.66497,0.00913
7.82741,0.01251
7.89848,0.00945
8.10152,0.01025
8.27411,0.01154
8.36548,0.00881
8.62944,0.00945
8.78173,0.01524
8.85279,0.01476
9.03553,0.00961
9.13706,0.00993
9.21827,0.01202
9.37056,0.01299
9.47208,0.00945
9.51269,0.01315
9.69543,0.00848
9.80711,0.00543
9.86802,0.0117
10.0,0.01396
10.08122,0.00961
10.10152,0.01299
10.18274,0.00961
10.25381,0.01492
10.28426,0.00977
10.39594,0.00671
10.48731,0.00881
10.51777,0.01605
10.63959,0.01315
10.73096,0.01283
10.77157,0.01331
10.92386,0.01186
11.04569,0.00864
11.09645,0.01669
11.24873,0.01025
11.36041,0.01299
11.40102,0.01299
11.5533,0.01492
11.64467,0.01492
11.69543,0.00977
11.85787,0.01267
