Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.03939
0.0,0.03842
0.0,0.04148
0.0,0.0476
0.0,0.04309
0.0,0.04341
0.0,0.0447
0.0,0.04406
0.0,0.04261
0.0,0.04277
0.0,0.04212
0.0,0.04212
0.0,0.0447
0.0,0.04695
0.0,0.04228
0.0,0.04068
0.0,0.04438
0.0,0.04293
0.0,0.04309
0.0,0.04422
0.0,0.04389
0.0,0.04357
0.0,0.04534
0.0,0.04389
0.0,0.04486
0.0,0.04647
0.0,0.04454
0.0,0.04663
0.0,0.04518
0.0,0.04615
0.0,0.04744
0.0,0.04583
0.0,0.04518
0.0,0.04068
0.0,0.03874
0.0,0.03987
0.0,0.04228
0.0,0.04293
0.0,0.04035
0.0,0.03939
0.0,0.04068
0.0,0.04212
0.0,0.04341
0.0,0.03955
0.0,0.0447
0.0,0.04792
0.0,0.04325
0.0,0.03939
0.0,0.04116
0.0,0.04212
0.0,0.04711
0.0,0.04293
0.0,0.04406
0.0,0.04583
0.0,0.041
0.0,0.04196
0.0,0.04293
0.0,0.03971
0.0,0.0381
0.0,0.04406
0.0,0.04325
0.0,0.04261
0.0,0.04212
0.0,0.04631
0.0,0.04245
0.0,0.03907
0.0,0.04309
0.0,0.04035
0.0,0.04357
0.0,0.04164
0.0,0.03939
0.0,0.04373
0.0,0.04663
0.0,0.0389
0.0,0.04212
0.0,0.04035
0.0,0.04228
0.0,0.04502
0.0,0.04212
0.0,0.04293
0.0,0.04373
0.0,0.04051
0.0,0.0455
0.0,0.0447
0.0,0.04084
0.0,0.04228
0.0,0.03504
0.0,0.04502
0.0,0.04422
0.0,0.04196
0.0,0.04711
0.0,0.04518
0.0,0.04325
0.0,0.04647
0.0,0.04486
0.0,0.04679
0.0,0.04824
0.0,0.04599
0.0,0.0455
0.0,0.04228
0.0,0.04422
0.0,0.04293
0.0,0.04583
0.0,0.03907
0.0,0.04711
0.0,0.04921
0.0,0.04132
0.0,0.04599
0.0,0.04261
0.0,0.04245
0.0,0.04228
0.0,0.04454
0.0,0.04196
0.0,0.04309
0.0,0.04406
0.0,0.03939
0.0,0.0455
0.0,0.04486
0.0,0.04422
0.0,0.04309
0.0,0.0455
0.0,0.04744
0.0,0.04727
0.0,0.04888
0.0,0.04663
0.0,0.04647
0.0,0.04357
0.0,0.04647
0.0,0.04261
0.0,0.0455
0.0,0.04566
0.0,0.04534
0.0,0.04454
0.0,0.0455
0.0,0.04261
0.0,0.04454
0.0,0.04486
0.0,0.04132
0.0,0.04438
0.0,0.04277
0.0,0.04389
0.0,0.04277
0.0,0.04373
0.0,0.04744
0.0,0.04389
0.0,0.04132
0.0,0.04325
0.0,0.04583
0.0,0.04518
0.0,0.04389
0.01015,0.04679
0.01015,0.04566
0.01015,0.04277
0.01015,0.04454
0.01015,0.04245
0.01015,0.03713
0.01015,0.03842
0.01015,0.03923
0.01015,0.03697
0.01015,0.04293
0.03046,0.04277
0.05076,0.03697
0.08122,0.04309
0.10152,0.04212
0.17259,0.04325
0.24365,0.04003
0.27411,0.04212
0.4264,0.03794
0.53807,0.04051
0.58883,0.04164
0.71066,0.04615
0.79188,0.04245
0.84264,0.04261
0.99492,0.04261
1.04569,0.04148
1.1066,0.03826
1.25888,0.04454
1.37056,0.04164
1.42132,0.04019
1.59391,0.04357
1.72589,0.04373
1.7868,0.041
2.0,0.04583
2.16244,0.04035
2.24365,0.04373
2.43655,0.04132
2.59898,0.04438
2.67005,0.04261
2.92386,0.04035
3.1066,0.04373
3.18782,0.04776
3.47208,0.04389
3.64467,0.04357
3.74619,0.0447
4.05076,0.0484
4.24365,0.04357
4.35533,0.0389
4.58883,0.04744
4.76142,0.04534
4.83249,0.04486
5.11675,0.04502
5.29949,0.041
5.39086,0.04454
5.65482,0.04325
5.84772,0.04325
5.92893,0.04148
6.19289,0.04212
6.39594,0.04679
6.51777,0.04454
6.8731,0.04647
7.08629,0.04196
7.18782,0.04969
7.53299,0.0476
7.77665,0.04261
7.9797,0.04566
8.32487,0.04711
8.53807,0.05001
8.61929,0.05065
8.90355,0.0455
9.04569,0.05146
9.17766,0.05049
9.47208,0.04985
9.62437,0.04921
9.70558,0.04486
9.96954,0.04727
10.13198,0.04679
10.2132,0.04647
10.37563,0.05065
10.52792,0.04792
10.57868,0.04711
10.77157,0.05001
10.90355,0.05098
10.95431,0.04647
11.1269,0.04631
11.24873,0.04711
11.30964,0.05049
11.46193,0.05146
11.5533,0.05323
11.59391,0.04744
11.7868,0.05355
11.88832,0.04776
11.93909,0.04921
12.12183,0.05291
12.24365,0.05226
12.29442,0.05629
12.45685,0.04937
12.57868,0.05194
12.69036,0.05532
12.88325,0.05259
13.00508,0.04921
13.06599,0.05436
13.23858,0.05581
13.36041,0.05001
13.41117,0.05226
13.58376,0.05935
13.68528,0.05146
13.72589,0.05371
13.88832,0.05661
13.98985,0.05082
14.05076,0.06047
14.18274,0.05581
14.27411,0.06047
14.37563,0.05951
14.49746,0.05935
14.59898,0.05629
14.6599,0.06112
14.84264,0.05951
14.96447,0.05741
15.08629,0.05581
15.23858,0.06353
15.36041,0.06723
15.42132,0.06289
15.69543,0.06772
15.84772,0.07142
15.92893,0.07287
16.2132,0.07657
16.35533,0.07753
16.47716,0.08365
16.75127,0.08703
16.88325,0.09283
16.99492,0.09765
17.22843,0.10409
17.32995,0.11134
17.41117,0.12534
17.62437,0.13661
17.72589,0.14755
17.81726,0.1519
17.95939,0.18055
18.0203,0.18522
18.06091,0.19697
18.18274,0.21741
18.27411,0.229
18.35533,0.24541
18.58883,0.28887
18.71066,0.31028
18.83249,0.34279
19.1269,0.43856
19.26904,0.50601
19.42132,0.58166
19.66497,0.74777
19.79695,0.85561
19.93909,0.96329
20.14213,1.17688
20.24365,1.28665
20.33503,1.38114
20.49746,1.57316
20.60914,1.6699
20.69036,1.76309
20.86294,1.91472
20.95431,1.97685
21.02538,2.02626
21.18782,2.10304
21.24873,2.11447
21.30964,2.12252
21.40102,2.11897
21.44162,2.11608
21.44162,2.11318
21.46193,2.11028
21.49239,2.10433
21.53299,2.09065
21.5533,2.08195
21.63452,2.05604
21.71574,2.03576
21.7665,2.02015
21.88832,1.93886
22.01015,1.86949
22.07107,1.82635
22.24365,1.67585
22.37563,1.57831
22.4264,1.51377
22.60914,1.34701
22.73096,1.22404
22.77157,1.16336
22.94416,0.99612
23.06599,0.88973
23.1269,0.83661
23.28934,0.69497
23.39086,0.60741
23.46193,0.56701
23.61421,0.45965
23.71574,0.40669
23.75635,0.37144
23.89848,0.30738
24.0,0.26875
24.04061,0.25169
24.20305,0.20775
24.32487,0.1865
24.38579,0.17298
24.55838,0.13693
24.67005,0.12727
24.73096,0.12502
24.92386,0.10361
25.05584,0.10248
25.1269,0.08961
25.3198,0.0888
25.49239,0.07866
25.5533,0.0785
25.7665,0.07689
25.88832,0.07158
25.94924,0.07351
26.12183,0.06804
26.22335,0.06756
