Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.0542
0.0,0.05226
0.0,0.05677
0.0,0.05645
0.0,0.05741
0.0,0.05355
0.0,0.05082
0.0,0.055
0.0,0.05838
0.0,0.05741
0.0,0.05645
0.0,0.05645
0.0,0.05935
0.0,0.05564
0.0,0.05307
0.0,0.05452
0.0,0.05822
0.0,0.05403
0.0,0.05371
0.0,0.05387
0.0,0.05436
0.0,0.05484
0.0,0.0587
0.0,0.0624
0.0,0.05854
0.0,0.05886
0.0,0.05323
0.0,0.05065
0.0,0.05017
0.0,0.05886
0.0,0.05806
0.0,0.0521
0.0,0.05629
0.0,0.05677
0.0,0.05226
0.0,0.05822
0.0,0.05564
0.0,0.05114
0.0,0.05935
0.0,0.05709
0.0,0.05838
0.0,0.05532
0.0,0.05355
0.0,0.05613
0.0,0.05838
0.0,0.05774
0.0,0.05548
0.0,0.05645
0.0,0.05902
0.0,0.05854
0.0,0.05371
0.0,0.0542
0.0,0.05484
0.0,0.0542
0.0,0.05886
0.0,0.05725
0.0,0.05758
0.0,0.0513
0.0,0.0587
0.0,0.05194
0.0,0.05613
0.0,0.0579
0.0,0.0542
0.0,0.05387
0.0,0.05822
0.0,0.05645
0.0,0.05725
0.0,0.05709
0.0,0.05371
0.0,0.05613
0.0,0.055
0.0,0.05725
0.0,0.05645
0.0,0.05564
0.0,0.05629
0.0,0.05275
0.0,0.05613
0.0,0.05275
0.0,0.05902
0.0,0.0521
0.0,0.05564
0.0,0.05774
0.0,0.05838
0.0,0.05436
0.0,0.05999
0.0,0.0579
0.0,0.05806
0.0,0.05259
0.0,0.05709
0.0,0.05613
0.0,0.05484
0.0,0.05307
0.0,0.05613
0.0,0.05838
0.0,0.05774
0.0,0.05452
0.0,0.05629
0.0,0.05146
0.0,0.05581
0.0,0.05581
0.0,0.05661
0.0,0.05693
0.0,0.05886
0.0,0.05581
0.0,0.05291
0.0,0.05178
0.0,0.05709
0.0,0.0608
0.0,0.0608
0.0,0.05806
0.0,0.05226
0.0,0.05339
0.0,0.05645
0.0,0.05758
0.0,0.0521
0.0,0.05532
0.0,0.05645
0.0,0.05854
0.0,0.05902
0.0,0.05581
0.0,0.05902
0.0,0.04937
0.0,0.05307
0.0,0.05661
0.0,0.05725
0.0,0.05902
0.0,0.05806
0.0,0.05436
0.0,0.05452
0.0,0.05951
0.0,0.05741
0.0,0.05999
0.0,0.05226
0.0,0.05693
0.0,0.0579
0.0,0.05613
0.0,0.05983
-0.01015,0.05661
-0.01015,0.05613
0.0,0.05919
0.0,0.05291
0.0,0.05629
0.0,0.05725
0.0,0.06063
0.0,0.05967
0.0,0.05919
0.0,0.0608
0.0,0.05693
0.0,0.05854
0.0,0.05597
0.01015,0.05629
0.0,0.05709
-0.01015,0.0579
-0.01015,0.06015
-0.01015,0.05854
-0.01015,0.06112
-0.01015,0.05774
-0.01015,0.06047
0.0,0.05774
0.01015,0.05613
0.0203,0.05983
0.03046,0.05822
0.03046,0.05741
0.03046,0.06031
0.06091,0.05371
0.08122,0.05758
0.10152,0.05403
0.11168,0.05178
0.15228,0.05677
0.2132,0.05967
