Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.01251
0.0,0.00977
0.0,0.00977
0.0,0.01138
0.0,0.01235
0.0,0.0117
0.0,0.0072
0.0,0.01283
0.0,0.00591
0.0,0.01058
0.0,0.00961
0.0,0.01202
0.0,0.00752
0.0,0.00881
0.0,0.00881
0.0,0.01106
0.0,0.01202
0.0,0.01492
0.0,0.01154
0.0,0.01058
0.0,0.01331
0.01015,0.00543
0.0,0.01074
0.01015,0.00977
0.0,0.01331
0.0,0.01283
0.0,0.01025
0.0,0.01186
0.0,0.00543
0.0,0.00993
0.0,0.00929
0.0,0.0146
0.0,0.01508
0.0,0.00607
0.0,0.01074
0.0,0.00881
0.0,0.01042
0.0,0.01025
0.0,0.01186
0.0,0.00864
0.0,0.00977
0.0,0.00881
0.0,0.00671
0.0,0.01074
0.0,0.01219
0.0,0.00655
0.0,0.00768
0.0,0.0109
0.0,0.01009
0.0,0.00945
0.0,0.00929
0.0,0.0072
0.0,0.00816
0.0,0.00816
0.0,0.01283
0.0,0.008
0.0,0.00446
0.0,0.00848
0.0,0.0146
0.0,0.01009
0.0,0.00816
0.0,0.00977
0.0,0.00349
0.0,0.00929
0.0,0.00929
0.0,0.00736
0.0,0.01444
0.0,0.01042
0.0,0.01122
0.0,0.01492
0.0,0.01283
0.0,0.00993
0.0,0.01009
0.0,0.01508
0.0,0.01396
0.0,0.00945
0.0,0.01283
0.0,0.01412
0.0,0.01042
0.0,0.0138
0.0,0.0154
0.0,0.00848
0.0,0.0117
0.0,0.0117
0.0,0.00945
0.0,0.00784
0.0,0.00752
0.0,0.00993
0.0,0.01058
0.0,0.00655
0.0,0.00816
0.0,0.01042
0.0,0.01315
0.0,0.01315
0.0,0.01299
0.0,0.01009
0.0,0.00897
0.0,0.00848
0.0,0.01428
0.0,0.00768
0.0,0.00639
0.0,0.00977
0.0,0.00736
0.0,0.00929
0.0,0.00687
0.0,0.00897
0.0,0.00816
0.0,0.00687
0.0,0.00864
0.0,0.01219
0.0,0.01025
0.0,0.01009
0.0,0.00832
0.0,0.01138
0.0,0.00832
0.0,0.00913
0.0,0.01058
0.0,0.01058
0.0,0.0109
0.0,0.01267
0.0,0.01444
0.0,0.00703
0.0,0.00639
0.0,0.00832
0.0,0.00977
0.0,0.01074
0.0,0.00687
0.0,0.00848
0.0,0.01138
0.0,0.00607
0.0,0.00881
0.0,0.00446
0.0,0.00784
0.0,0.01106
0.0,0.01025
0.0,0.00382
0.0,0.00913
0.0,0.0043
0.0,0.00929
0.0,0.00414
0.0,0.00655
0.0,0.00913
0.0,0.00816
0.0,0.00913
0.0,0.00929
0.0,0.0072
0.0,0.01122
0.0,0.00881
0.0,0.00881
0.0,0.01267
0.0,0.01524
0.0,0.01476
0.0,0.00655
0.0,0.00993
0.0,0.00816
0.0,0.01106
0.0,0.00961
-0.01015,0.00623
-0.01015,0.00929
-0.01015,0.00736
-0.01015,0.00913
-0.01015,0.00736
0.0,0.01154
0.0,0.01058
0.0,0.01251
0.0,0.01267
0.0,0.0138
0.0,0.01058
0.0,0.00848
0.0,0.01251
0.0,0.0051
-0.0203,0.0138
-0.0203,0.00977
