Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.1057
0.0,0.10393
0.0,0.10635
0.0,0.1094
0.0,0.10796
0.0,0.11005
0.0,0.10441
0.0,0.10892
0.0,0.11037
0.0,0.11278
0.0,0.11118
0.0,0.10812
0.0,0.1086
0.0,0.10715
0.0,0.1086
0.0,0.10924
0.0,0.11327
0.0,0.11439
0.0,0.11101
0.0,0.10973
0.0,0.11278
0.0,0.11262
0.0,0.10989
0.0,0.10796
0.0,0.11021
0.0,0.1094
0.0,0.11166
0.0,0.11118
0.0,0.11182
0.0,0.11182
0.0,0.11295
0.0,0.11037
0.0,0.1086
0.0,0.10924
0.0,0.11085
0.0,0.11037
0.0,0.11407
0.0,0.11118
0.0,0.11295
0.0,0.11134
0.0,0.10989
0.0,0.11085
0.0,0.11262
0.0,0.11005
0.0,0.11343
0.0,0.10876
0.0,0.11375
0.0,0.1123
0.0,0.11198
0.0,0.11053
0.0,0.11311
0.0,0.10763
0.0,0.11069
0.0,0.11262
0.0,0.10876
0.0,0.11214
0.0,0.11053
0.0,0.11439
0.0,0.11343
0.0,0.11311
0.0,0.10876
0.0,0.10876
0.0,0.11311
0.0,0.10683
0.0,0.10731
0.0,0.10731
0.0,0.10731
0.0,0.11037
0.0,0.10779
0.0,0.10876
0.0,0.10667
0.0,0.10908
0.0,0.10313
0.0,0.10957
0.0,0.11005
0.0,0.10458
0.0,0.10506
0.0,0.10715
0.0,0.10828
0.0,0.11005
0.0,0.11439
0.0,0.11037
0.0,0.11182
0.0,0.11311
0.0,0.11278
0.0,0.1123
0.0,0.11198
0.0,0.10973
0.0,0.11311
0.0,0.10924
0.0,0.11182
0.0,0.10989
0.0,0.11005
0.0,0.1094
0.0,0.10957
0.0,0.11069
0.0,0.10651
0.0,0.10989
0.0,0.11118
0.0,0.11085
0.0,0.10667
0.0,0.11182
0.0,0.11327
0.0,0.11053
0.0,0.11037
0.0,0.10474
0.0,0.11021
0.0,0.10667
0.0,0.10924
0.0,0.10957
0.0,0.1086
0.0,0.10554
0.0,0.10924
0.0,0.1086
0.0,0.10957
0.0,0.10683
0.0,0.10763
0.0,0.11037
0.0,0.10796
-0.01015,0.11005
-0.01015,0.10796
-0.01015,0.11021
0.0,0.1057
0.0,0.10441
0.0,0.11101
0.0,0.11021
0.0,0.10844
0.0,0.11166
0.0,0.10924
0.0,0.10329
0.0,0.10973
0.0,0.10828
0.0,0.11101
0.0,0.10924
0.0,0.1123
0.0,0.10763
0.0,0.1094
0.0,0.11198
0.0,0.10989
0.0,0.10973
0.0,0.10924
0.0,0.1094
0.0,0.10973
0.0,0.10747
0.0,0.10876
0.0,0.11037
0.0,0.1094
0.0,0.10586
0.0,0.11166
0.0,0.10779
0.0,0.10957
0.0,0.10281
-0.01015,0.10796
-0.01015,0.11166
-0.01015,0.10619
-0.01015,0.10715
-0.01015,0.1057
-0.01015,0.10828
0.0,0.10957
0.0,0.10876
0.0,0.10924
0.0,0.10474
0.0,0.10651
-0.01015,0.10876
-0.01015,0.10602
-0.01015,0.1094
-0.01015,0.10731
-0.01015,0.10361
-0.01015,0.10619
-0.01015,0.10747
-0.01015,0.10522
-0.01015,0.10683
-0.01015,0.10441
0.0,0.10763
0.0,0.10619
0.0,0.10876
0.0,0.11021
0.01015,0.10635
0.0203,0.10844
0.03046,0.10715
0.05076,0.10973
0.11168,0.10763
0.12183,0.10586
0.13198,0.10844
0.18274,0.10699
0.2132,0.10699
0.22335,0.11021
0.27411,0.10619
0.31472,0.10796
0.34518,0.11005
0.45685,0.11021
0.53807,0.10441
0.57868,0.10924
0.6802,0.10763
0.73096,0.1086
0.76142,0.11037
0.82234,0.10554
0.86294,0.10731
0.8934,0.11166
1.02538,0.10908
1.11675,0.10619
1.16751,0.10796
1.26904,0.11021
1.37056,0.10844
1.41117,0.10699
1.54315,0.10651
1.65482,0.10506
1.70558,0.10924
1.92893,0.1094
2.05076,0.10361
2.09137,0.10844
2.15228,0.10763
2.18274,0.10973
2.18274,0.10844
2.19289,0.10458
2.19289,0.11021
2.20305,0.10747
2.20305,0.10651
2.20305,0.10651
2.20305,0.11069
2.22335,0.10876
2.27411,0.10957
2.33503,0.10957
2.36548,0.10908
2.49746,0.10586
2.63959,0.10329
2.73096,0.10924
2.95431,0.10715
3.1269,0.10651
3.20812,0.10699
3.49239,0.10619
3.70558,0.10683
3.80711,0.11053
4.11168,0.10619
4.27411,0.11037
4.34518,0.11182
4.50761,0.11166
4.59898,0.11262
4.64975,0.11423
4.78173,0.11037
4.85279,0.10924
4.8934,0.11359
5.01523,0.11021
5.1066,0.11037
5.15736,0.10651
5.27919,0.11311
5.36041,0.11278
5.39086,0.11037
5.53299,0.10796
5.60406,0.10619
5.64467,0.10908
5.74619,0.11246
5.80711,0.11262
5.83756,0.11407
5.94924,0.11246
6.01015,0.11536
6.04061,0.11037
6.2132,0.11182
6.27411,0.11118
6.31472,0.11472
6.43655,0.1123
6.51777,0.11166
6.54822,0.11504
6.60914,0.11391
6.6599,0.11504
6.70051,0.116
6.80203,0.10715
6.8731,0.11616
6.98477,0.11295
7.09645,0.11246
7.21827,0.11214
7.26904,0.11037
7.41117,0.11037
7.48223,0.1152
7.52284,0.11423
7.64467,0.11488
7.73604,0.11246
7.77665,0.11761
7.88832,0.1123
7.9797,0.11198
8.06091,0.11359
8.18274,0.11246
8.25381,0.1115
8.29442,0.11327
8.39594,0.11085
8.46701,0.11488
8.50761,0.11262
8.60914,0.11439
8.6802,0.11649
8.73096,0.11504
8.85279,0.11633
8.95431,0.10828
8.99492,0.11118
9.1066,0.11359
9.17766,0.11761
9.20812,0.11327
9.29949,0.11262
9.36041,0.11391
9.40102,0.11649
9.51269,0.11359
9.59391,0.1123
9.63452,0.11375
9.74619,0.11166
9.82741,0.11439
9.85787,0.11295
9.93909,0.1115
10.0,0.11665
10.03046,0.11375
10.12183,0.11359
10.18274,0.10796
10.2132,0.11794
10.28426,0.10957
10.33503,0.11262
10.36548,0.1152
10.4467,0.1181
10.49746,0.11472
10.52792,0.11166
10.6599,0.11665
10.73096,0.10924
10.76142,0.11649
10.83249,0.11101
10.8731,0.11295
10.8934,0.11649
10.94416,0.1152
10.99492,0.11278
11.01523,0.11584
11.09645,0.11166
11.15736,0.11488
11.17766,0.11327
11.24873,0.11681
11.30964,0.11633
11.3401,0.11439
11.39086,0.11391
11.39086,0.11005
11.39086,0.11375
11.39086,0.11311
11.39086,0.11407
11.39086,0.11681
11.39086,0.11536
11.39086,0.11439
11.40102,0.11214
11.40102,0.11021
11.45178,0.11053
11.48223,0.11713
11.50254,0.11616
11.52284,0.11037
11.60406,0.11262
11.66497,0.11085
11.69543,0.11456
11.79695,0.11375
11.86802,0.11295
11.89848,0.11053
12.01015,0.11504
12.08122,0.11391
12.10152,0.1152
12.16244,0.10957
12.22335,0.11134
12.26396,0.10892
12.33503,0.11552
12.38579,0.10828
12.41624,0.1115
12.52792,0.11198
12.60914,0.11407
12.62944,0.10892
12.67005,0.11101
12.69036,0.11101
12.70051,0.11359
12.72081,0.11295
12.73096,0.11713
12.73096,0.10957
12.77157,0.11101
12.82234,0.11246
12.8731,0.11053
12.8934,0.11166
13.02538,0.11665
13.1066,0.11198
13.13706,0.11552
13.20812,0.11214
13.25888,0.11456
13.28934,0.1115
13.38071,0.11649
13.43147,0.11246
13.44162,0.11407
13.49239,0.11456
13.52284,0.11182
13.53299,0.11439
13.5736,0.11295
13.61421,0.11134
13.63452,0.11198
13.70558,0.11053
13.7868,0.11085
13.81726,0.1115
13.92893,0.11697
13.98985,0.11407
14.0203,0.11584
14.10152,0.11246
14.17259,0.1152
14.20305,0.11423
14.28426,0.11295
14.33503,0.116
14.36548,0.11246
14.43655,0.10876
14.48731,0.11407
14.50761,0.11134
14.59898,0.11327
14.6802,0.11053
14.73096,0.11697
14.81218,0.11729
14.86294,0.11504
14.8934,0.11472
14.98477,0.11456
15.02538,0.11423
15.04569,0.11568
15.11675,0.116
15.16751,0.11954
15.19797,0.11488
15.3401,0.11874
15.39086,0.11456
15.43147,0.11842
15.54315,0.11745
15.62437,0.11391
15.66497,0.11842
15.7665,0.11665
15.81726,0.11665
15.84772,0.11616
15.88832,0.11423
15.91878,0.11697
15.92893,0.11874
15.9797,0.11649
16.0203,0.11568
16.04061,0.11488
16.11168,0.11665
16.17259,0.12164
16.19289,0.11761
16.30457,0.11616
16.35533,0.1181
16.37563,0.1181
16.47716,0.11262
16.51777,0.12035
16.55838,0.12035
16.6802,0.11987
16.73096,0.11922
16.76142,0.12132
16.8731,0.12164
16.94416,0.12389
16.97462,0.12196
17.04569,0.12325
17.08629,0.12566
17.11675,0.12293
17.20812,0.12582
17.26904,0.12647
17.30964,0.12389
17.45178,0.12743
17.56345,0.12582
17.61421,0.13194
17.82741,0.13097
17.94924,0.13339
18.08122,0.13532
18.30457,0.1461
