Sensor Position (Degrees),Light Intensity (Volts)
0.0,-0.02194
0.0,-0.02258
0.0,-0.02226
0.0,-0.02339
0.0,-0.02451
0.0,-0.01985
0.0,-0.02677
0.0,-0.01711
0.0,-0.02097
0.0,-0.02274
0.0,-0.01888
0.0,-0.02419
0.0,-0.02049
0.0,-0.02371
0.0,-0.01856
0.0,-0.01985
0.0,-0.01968
0.0,-0.02162
0.0,-0.02323
0.0,-0.02001
0.0,-0.01904
0.0,-0.01936
0.0,-0.02065
0.0,-0.01791
0.0,-0.01985
0.0,-0.0192
0.0,-0.01936
0.0,-0.02387
0.0,-0.02371
0.0,-0.02258
0.0,-0.01904
0.0,-0.01679
0.0,-0.02017
0.0,-0.0192
0.0,-0.01807
0.0,-0.02001
0.0,-0.02081
0.0,-0.01695
0.0,-0.02017
0.0,-0.02274
0.0,-0.0221
0.0,-0.01824
0.0,-0.01856
0.0,-0.01775
0.0,-0.01936
0.0,-0.0221
0.0,-0.0229
0.0,-0.01888
0.0,-0.02532
0.0,-0.02049
0.0,-0.01824
0.0,-0.0184
0.0,-0.01824
0.0,-0.0192
0.0,-0.02258
0.0,-0.02483
0.0,-0.02001
0.0,-0.01807
0.0,-0.01985
0.0,-0.02001
0.0,-0.02178
0.0,-0.0184
0.0,-0.02194
0.0,-0.01985
0.0,-0.02564
0.0,-0.01985
0.0,-0.01759
0.0,-0.01759
0.0,-0.02033
0.0,-0.01663
0.0,-0.02129
0.0,-0.02162
0.0,-0.02226
0.0,-0.01775
0.0,-0.02274
0.0,-0.01936
0.0,-0.01824
0.0,-0.01904
0.0,-0.01985
0.0,-0.01952
0.0,-0.01695
0.0,-0.02081
0.0,-0.01743
0.0,-0.0192
0.0,-0.02355
0.0,-0.01968
0.0,-0.02145
0.0,-0.01936
0.0,-0.02178
0.0,-0.01663
0.0,-0.02081
0.0,-0.02274
0.0,-0.02129
0.0,-0.02129
0.0,-0.02194
0.0,-0.02129
0.0,-0.02467
0.0,-0.025
0.0,-0.01985
0.0,-0.01807
0.0,-0.0184
0.0,-0.01534
0.0,-0.01952
0.0,-0.01904
0.0,-0.01518
0.0,-0.02355
0.0,-0.01711
0.0,-0.01759
0.0,-0.0229
0.0,-0.02017
0.0,-0.01775
0.0,-0.01824
0.0,-0.02017
0.0,-0.01888
0.0,-0.01936
0.0,-0.02065
0.0,-0.01727
0.0,-0.02113
0.0,-0.01936
0.0,-0.01614
0.0,-0.01824
0.0,-0.02001
0.0,-0.01711
0.0,-0.01711
0.0,-0.02097
0.0,-0.01904
0.0,-0.02435
0.0,-0.02419
0.0,-0.02081
0.0,-0.01743
0.0,-0.01968
0.0,-0.02049
0.0,-0.02226
0.0,-0.02065
0.0,-0.01598
0.0,-0.01952
0.0,-0.01791
0.0,-0.01856
0.0,-0.01791
0.0,-0.01727
0.0,-0.01663
0.0,-0.01775
0.0,-0.01582
0.0,-0.02129
0.0,-0.01711
0.0,-0.02129
0.01015,-0.01518
0.0,-0.02129
0.0,-0.01711
0.0,-0.02162
0.0,-0.02516
0.0,-0.01856
0.0,-0.02097
0.0,-0.01904
0.0,-0.01856
0.0,-0.01872
-0.01015,-0.0192
-0.03046,-0.01904
-0.05076,-0.01614
-0.05076,-0.02612
-0.04061,-0.02097
-0.03046,-0.01904
-0.0203,-0.02178
0.01015,-0.01952
0.06091,-0.02339
0.14213,-0.02049
0.24365,-0.01872
0.29442,-0.02323
0.45685,-0.02162
0.55838,-0.02323
0.59898,-0.01759
0.69036,-0.02097
0.77157,-0.01759
0.82234,-0.01936
0.96447,-0.02033
1.05584,-0.01807
1.1066,-0.02451
1.22843,-0.0184
1.36041,-0.02258
1.42132,-0.02129
1.63452,-0.01936
1.79695,-0.01824
1.86802,-0.01437
2.13198,-0.0221
2.33503,-0.02065
2.51777,-0.0184
2.72081,-0.01695
2.84264,-0.01775
2.91371,-0.02226
3.13706,-0.02065
3.29949,-0.01936
3.39086,-0.02081
3.67513,-0.02274
3.90863,-0.02001
4.04061,-0.02145
4.30457,-0.01936
4.51777,-0.02162
4.58883,-0.01775
4.86294,-0.02145
5.06599,-0.01598
5.13706,-0.02033
5.43147,-0.01582
5.61421,-0.02081
5.71574,-0.01711
5.98985,-0.01598
6.19289,-0.01775
6.27411,-0.0155
6.54822,-0.01679
6.73096,-0.01775
6.82234,-0.01904
7.05584,-0.02001
7.23858,-0.01824
7.3401,-0.01743
7.5736,-0.01566
7.75635,-0.0163
7.83756,-0.01952
8.09137,-0.01791
8.25381,-0.01341
8.34518,-0.01711
8.63959,-0.01244
8.79188,-0.01856
8.86294,-0.01405
9.1269,-0.0155
9.25888,-0.02001
9.3401,-0.01405
9.5533,-0.01888
9.70558,-0.01518
9.7868,-0.01856
10.05076,-0.01292
10.2132,-0.01469
10.31472,-0.01679
10.52792,-0.01502
10.6599,-0.01807
10.70051,-0.01614
10.86294,-0.02049
10.97462,-0.01357
11.01523,-0.01807
11.1269,-0.01437
11.19797,-0.01743
11.23858,-0.01325
11.3198,-0.01357
11.38071,-0.01518
11.41117,-0.0192
11.52284,-0.01598
11.61421,-0.01453
11.64467,-0.01469
11.7868,-0.01486
11.89848,-0.01614
11.93909,-0.01807
12.10152,-0.01244
12.2335,-0.02001
12.30457,-0.01099
12.47716,-0.01453
12.59898,-0.01421
12.72081,-0.01582
12.88325,-0.01566
12.99492,-0.01904
13.05584,-0.01196
13.21827,-0.00938
13.3198,-0.01582
13.36041,-0.01276
13.52284,-0.01534
13.59391,-0.0126
13.63452,-0.01663
13.75635,-0.0126
13.86802,-0.00858
13.91878,-0.0163
14.14213,-0.00954
14.27411,-0.01196
14.34518,-0.0089
14.53807,-0.01212
14.67005,-0.006
14.73096,-0.0097
14.95431,-0.01099
15.06599,-0.00472
15.1269,-0.0052
15.37056,0.0006
15.50254,0.00027
15.5533,-0.00439
15.84772,0.00526
15.9797,0.00961
16.04061,0.00543
16.26396,0.00752
16.37563,0.01299
16.41624,0.01444
16.59898,0.01718
16.71066,0.02297
16.79188,0.02828
16.94416,0.03536
17.04569,0.03794
17.15736,0.04518
17.3198,0.055
17.43147,0.06353
17.53299,0.07335
17.77665,0.09669
17.88832,0.10184
17.98985,0.11777
18.24365,0.15721
18.36548,0.17813
18.49746,0.20695
18.69036,0.27165
18.79188,0.31125
18.88325,0.35116
19.04569,0.4405
19.17766,0.49635
19.27919,0.56379
19.46193,0.6866
19.58376,0.76676
19.68528,0.84756
19.87817,1.04329
19.98985,1.14067
20.10152,1.25591
20.27411,1.42798
20.38579,1.51618
20.46701,1.6031
20.6802,1.79448
20.79188,1.87689
20.88325,1.94208
21.00508,2.03833
21.06599,2.06682
21.09645,2.08051
21.16751,2.10529
21.23858,2.11254
21.26904,2.11946
21.41117,2.08904
21.50254,2.06039
21.53299,2.03946
21.65482,1.98055
21.75635,1.9226
21.79695,1.89605
21.92893,1.77999
22.0203,1.69372
22.06091,1.65638
22.19289,1.5223
22.30457,1.41719
22.37563,1.37663
22.53807,1.20956
22.64975,1.09383
22.71066,1.05198
22.86294,0.89166
22.96447,0.79235
22.99492,0.746
23.1066,0.62753
23.17766,0.55043
23.21827,0.51663
23.32995,0.42649
23.40102,0.37772
23.43147,0.35052
23.53299,0.2834
23.60406,0.24896
23.64467,0.23721
23.74619,0.18586
23.82741,0.15592
23.86802,0.14111
23.96954,0.10522
24.0203,0.0954
24.04061,0.08655
24.12183,0.07432
24.17259,0.05806
24.19289,0.05049
24.24365,0.03874
24.27411,0.03681
24.29442,0.03247
24.34518,0.02699
24.39594,0.01782
24.41624,0.01589
24.48731,0.0175
24.54822,0.01347
24.56853,0.01106
24.62944,0.00478
24.67005,0.00011
24.70051,0.00559
24.78173,-0.0023
24.86294,-0.00182
24.90355,-0.00278
25.02538,-0.00455
25.11675,-0.00536
25.16751,-0.00472
25.29949,-0.00842
25.40102,-0.00472
25.44162,-0.00472
25.5736,-0.00745
25.63452,-0.00616
25.67513,-0.00987
25.79695,-0.00472
25.87817,0.00044
25.92893,-0.00552
26.05076,-0.01131
26.13198,-0.00826
26.17259,-0.00842
26.31472,-0.00632
26.40609,-0.00294
26.45685,-0.00793
26.60914,-0.01067
26.71066,-0.00697
26.75127,-0.00375
26.91371,-0.00987
27.03553,-0.00632
27.08629,-0.00761
27.24873,-0.00713
27.36041,-0.0126
27.42132,-0.00294
27.61421,-0.00729
27.75635,-0.00439
27.83756,-0.01534
28.03046,-0.01341
28.17259,-0.01131
28.2335,-0.00616
28.43655,-0.00681
28.55838,-0.0052
28.60914,-0.01067
28.78173,-0.01196
28.8731,-0.01099
28.91371,-0.00954
29.02538,-0.00584
29.09645,-0.01164
29.1269,-0.00681
29.20812,-0.00729
29.26904,-0.00713
29.29949,-0.01067
29.40102,-0.00938
29.48223,-0.0097
29.52284,-0.00777
29.62437,-0.00616
29.69543,-0.01131
29.74619,-0.00713
29.87817,-0.01518
29.9797,-0.00745
30.03046,-0.01244
30.17259,-0.01067
30.26396,-0.01003
30.31472,-0.0097
30.4467,-0.00826
30.55838,-0.01115
30.62944,-0.00729
30.83249,-0.00874
30.93401,-0.01276
31.00508,-0.01019
31.16751,-0.01083
31.27919,-0.01212
31.3198,-0.01083
31.47208,-0.01131
31.56345,-0.00713
31.61421,-0.00906
31.79695,-0.01131
31.92893,-0.01357
32.01015,-0.01373
32.2335,-0.00938
32.39594,-0.01019
32.47716,-0.01212
32.69036,-0.00632
32.85279,-0.01196
32.91371,-0.00793
33.08629,-0.00954
33.20812,-0.01292
33.25888,-0.00649
33.41117,-0.01292
33.52284,-0.00777
33.60406,-0.01115
33.79695,-0.01389
33.93909,-0.00649
34.0,-0.00761
34.20305,-0.01067
34.31472,-0.01003
34.36548,-0.01148
34.50761,-0.01035
34.59898,-0.01067
34.62944,-0.00729
34.72081,-0.00649
34.79188,-0.00954
34.84264,-0.00826
34.98477,-0.00793
35.09645,-0.00922
35.15736,-0.01035
35.32995,-0.00729
35.45178,-0.01099
35.53299,-0.00906
35.75635,-0.00858
35.90863,-0.01228
36.0,-0.01115
36.2335,-0.01276
36.37563,-0.01083
36.4467,-0.01695
36.62944,-0.01019
36.74112,-0.0081
36.80203,-0.00874
36.96447,-0.01308
37.07614,-0.006
37.14721,-0.01019
37.3198,-0.00681
37.45178,-0.00665
37.52284,-0.00681
37.70558,-0.00504
37.83756,-0.01228
37.89848,-0.00632
38.09137,-0.00858
38.2132,-0.00922
38.28426,-0.0126
38.47716,-0.01486
38.59898,-0.01389
38.67005,-0.01131
38.8934,-0.01486
39.01523,-0.01292
39.08629,-0.0097
39.30964,-0.00729
39.46193,-0.00729
39.5533,-0.00938
39.70558,-0.0097
39.81726,-0.00922
39.86802,-0.00697
40.0203,-0.0089
40.13198,-0.01148
40.18274,-0.00681
40.33503,-0.01647
40.43655,-0.0081
40.47716,-0.01357
40.60914,-0.00793
40.70051,-0.00439
40.73096,-0.01357
40.83249,-0.00826
40.91371,-0.00649
40.94416,-0.01083
41.04569,-0.01421
41.11675,-0.01003
41.15736,-0.00665
41.26904,-0.01083
41.3401,-0.01003
41.38071,-0.01164
41.48223,-0.01035
41.56345,-0.00552
41.60406,-0.00793
41.74619,-0.01115
41.84772,-0.00713
41.89848,-0.0089
42.04061,-0.00777
42.13198,-0.00681
42.18274,-0.00665
42.30457,-0.01131
42.40609,-0.00842
42.4467,-0.00874
42.59898,-0.00954
42.70051,-0.0089
42.75127,-0.01003
42.8934,-0.00616
43.01523,-0.00745
43.05584,-0.00777
43.20812,-0.00665
43.30964,-0.01421
43.36041,-0.0052
43.52284,-0.00697
43.63452,-0.00423
43.68528,-0.01019
43.84772,-0.006
43.96954,-0.0052
44.0203,-0.00842
44.17259,-0.00826
44.26396,-0.00536
44.32487,-0.00455
44.49746,-0.00938
44.58883,-0.00777
44.64975,-0.00359
44.76142,-0.00826
44.86294,-0.00439
44.8934,-0.00681
45.01523,-0.00439
45.1066,-0.00584
45.14721,-0.0089
45.27919,-0.00826
45.37056,-0.00214
45.41117,-0.00729
45.53299,-0.01035
45.60406,-0.0081
45.63452,-0.00665
45.74619,-0.00842
45.83756,-0.00584
45.87817,-0.00536
46.04061,-0.00568
46.14213,-0.00407
46.19289,-0.0097
46.32487,-0.00375
46.4264,-0.00359
46.47716,-0.00568
46.61929,-0.01067
46.73096,-0.0052
46.78173,-0.00455
46.92386,-0.0052
47.00508,-0.00568
47.03553,-0.00246
47.15736,-0.00407
47.23858,-0.00665
47.27919,-0.00375
47.39086,-0.00391
47.45178,-0.00246
47.50254,-0.0081
47.60406,-0.00294
47.68528,-0.00616
47.73604,-0.00343
47.87817,-0.00632
47.96954,-0.00552
48.0203,-0.00375
