Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.06144
0.0,0.06418
0.0,0.06611
0.0,0.06112
0.0,0.06289
0.0,0.06096
0.0,0.06257
0.0,0.06659
0.0,0.05935
0.0,0.06192
0.0,0.06691
0.0,0.06224
0.0,0.06273
0.0,0.06723
0.0,0.06337
0.0,0.06401
0.0,0.06675
0.0,0.06788
0.0,0.06498
0.0,0.06337
0.0,0.06401
0.0,0.06611
0.0,0.06916
0.0,0.06852
0.0,0.06562
0.0,0.0645
0.0,0.06466
0.0,0.06707
0.0,0.06659
0.0,0.06723
0.0,0.06047
0.0,0.06257
0.0,0.06401
0.0,0.06611
0.0,0.06482
0.0,0.0608
0.0,0.06434
0.0,0.06385
0.0,0.0608
0.0,0.06128
0.0,0.06611
0.0,0.06868
0.0,0.06643
0.0,0.06466
0.0,0.05999
0.0,0.0587
0.0,0.0624
0.0,0.06289
0.0,0.06353
0.0,0.06224
0.0,0.06595
0.0,0.06546
0.0,0.06337
0.0,0.06514
0.0,0.06498
0.0,0.06546
0.0,0.06369
0.0,0.06643
0.0,0.06063
0.0,0.06369
0.0,0.06273
0.0,0.0653
0.0,0.06578
0.0,0.06015
0.0,0.06578
0.0,0.0616
0.0,0.06273
0.0,0.0653
0.0,0.06353
0.0,0.06337
0.0,0.0616
0.0,0.06659
0.0,0.06418
0.0,0.06546
0.0,0.05886
0.0,0.06063
0.0,0.06208
0.0,0.06627
0.0,0.06385
0.0,0.06176
0.0,0.06675
0.0,0.06289
0.0,0.06675
0.0,0.06369
0.0,0.06257
0.0,0.06353
0.0,0.06401
0.0,0.06401
0.0,0.06015
0.0,0.06337
0.0,0.0608
0.0,0.06112
0.0,0.06659
0.0,0.06498
0.0,0.05983
0.0,0.06289
0.0,0.06514
0.0,0.06063
0.0,0.06772
0.0,0.06289
0.0,0.06031
0.0,0.06063
0.0,0.06514
0.0,0.06643
0.0,0.06595
0.0,0.06498
0.0,0.06546
0.0,0.0645
0.0,0.06063
0.0,0.06434
0.0,0.06257
0.0,0.06273
0.0,0.06257
0.0,0.06096
0.0,0.06595
0.0,0.0624
0.0,0.06353
0.0,0.06337
0.0,0.06192
0.0,0.06466
0.0,0.06611
0.0,0.05902
0.0,0.06208
0.0,0.06756
0.0,0.06852
0.0,0.05919
0.0,0.06224
0.0,0.06305
0.0,0.06257
0.0,0.06305
0.0,0.05983
0.0,0.06208
0.0,0.06418
0.0,0.06192
0.0,0.06192
0.0,0.06257
0.0,0.06643
0.0,0.05935
0.0,0.06096
0.0,0.06192
0.0,0.06578
0.0,0.06257
0.0,0.06369
0.0,0.0645
0.0,0.06434
0.0,0.06482
0.0,0.06546
0.0,0.06546
0.0,0.06337
0.0,0.06369
0.0,0.06353
0.01015,0.05902
0.01015,0.06627
0.0,0.06595
0.0,0.06144
0.01015,0.06208
0.03046,0.06353
0.05076,0.06659
0.10152,0.05935
0.14213,0.06514
0.24365,0.06305
0.31472,0.05838
0.32487,0.06369
0.34518,0.06144
0.39594,0.06096
0.43655,0.0645
0.50761,0.05999
0.56853,0.0624
0.58883,0.06337
0.6599,0.06337
0.70051,0.06546
0.74112,0.05999
0.90355,0.06192
1.08629,0.06257
1.19797,0.06707
1.39086,0.05967
1.56345,0.06321
1.65482,0.0624
1.91878,0.06321
2.11168,0.06273
2.2335,0.06353
2.4467,0.06144
2.58883,0.05951
2.6802,0.06401
2.90355,0.05935
3.08629,0.06418
3.16751,0.06498
3.42132,0.06514
3.56345,0.0653
3.63452,0.06273
3.86802,0.06418
4.03046,0.06836
4.13198,0.06659
4.35533,0.06852
4.50761,0.0645
4.56853,0.0645
4.80203,0.06627
4.95431,0.0653
5.05584,0.0624
5.29949,0.06949
5.45178,0.06707
5.53299,0.06466
5.85787,0.06208
6.06091,0.06063
6.15228,0.06756
6.41624,0.06868
6.55838,0.06401
6.62944,0.06353
6.82234,0.06208
6.95431,0.06401
7.02538,0.06868
7.16751,0.06675
7.25888,0.06611
7.30964,0.06852
7.46193,0.06578
7.54315,0.06498
7.58376,0.06418
7.71574,0.0645
7.80711,0.06595
7.87817,0.06836
8.03046,0.06868
8.13198,0.06578
8.20305,0.06772
8.31472,0.06401
8.39594,0.06273
8.46701,0.06707
8.60914,0.07013
8.67005,0.06739
8.71066,0.06611
8.83249,0.06401
8.94416,0.06707
9.00508,0.06707
9.20812,0.06707
9.28934,0.06836
9.36041,0.06578
9.52284,0.06852
9.61421,0.06836
9.63452,0.06353
9.64467,0.0645
9.67513,0.06401
9.68528,0.06852
9.69543,0.06627
9.73604,0.06707
9.74619,0.06514
9.7665,0.06997
9.81726,0.06643
9.85787,0.06659
9.96954,0.0653
10.05076,0.06933
10.10152,0.06659
10.2132,0.06595
10.29442,0.06514
10.33503,0.06482
10.45685,0.06788
10.52792,0.0653
10.56853,0.0653
10.70051,0.06916
10.78173,0.06369
10.82234,0.06675
10.97462,0.06852
11.06599,0.07029
11.1066,0.06627
11.20812,0.069
11.25888,0.06482
11.29949,0.06514
11.41117,0.06578
11.48223,0.069
11.51269,0.06949
11.59391,0.06772
11.65482,0.06772
11.68528,0.06385
11.7665,0.06723
11.82741,0.06868
11.85787,0.06933
11.93909,0.06385
11.98985,0.06627
12.0203,0.07029
12.11168,0.06707
12.19289,0.06981
12.22335,0.06852
12.32487,0.06659
12.39594,0.06981
12.4467,0.06707
12.54822,0.06595
12.60914,0.06965
12.63959,0.07126
12.73096,0.06595
12.81218,0.0711
12.86294,0.06916
12.97462,0.06852
13.06599,0.06675
13.1269,0.06627
13.26904,0.07045
13.38071,0.06707
13.43147,0.07029
13.5736,0.06836
13.68528,0.07512
13.73604,0.06675
13.9797,0.07222
14.10152,0.06611
14.16244,0.07271
14.33503,0.0719
14.49746,0.07415
14.55838,0.07432
14.74112,0.07319
14.8731,0.07914
14.94416,0.07432
15.17766,0.07818
15.3198,0.07721
15.39086,0.07947
15.5736,0.07882
15.66497,0.07737
15.71574,0.07303
15.83756,0.07673
15.90863,0.07721
15.94924,0.08011
16.09137,0.08365
16.2132,0.08252
16.34518,0.08011
16.59898,0.09218
16.72081,0.09411
16.78173,0.09266
16.97462,0.10007
17.08629,0.10216
17.16751,0.10458
17.43147,0.11037
17.5736,0.12196
17.68528,0.12679
17.91878,0.14304
18.04061,0.15431
18.17259,0.16526
18.4467,0.19503
18.56853,0.21902
18.70051,0.24042
18.96447,0.30304
19.09645,0.35116
19.19797,0.39478
19.43147,0.50005
19.56345,0.56846
19.69543,0.6433
19.92893,0.79831
20.01015,0.88812
20.10152,0.96635
20.26396,1.11137
20.33503,1.19233
20.39594,1.25881
20.53807,1.38275
20.64975,1.44922
20.75127,1.52664
20.98477,1.6633
21.08629,1.73621
21.17766,1.78563
21.35025,1.84325
21.43147,1.85307
21.51269,1.85355
21.68528,1.82056
21.7665,1.7874
21.79695,1.77323
21.91878,1.70402
22.0,1.65541
22.13198,1.55916
22.24365,1.4819
22.29442,1.44375
22.46701,1.30822
22.58883,1.20923
22.63959,1.16626
22.82234,1.00514
22.93401,0.915
22.98477,0.86687
23.15736,0.73602
23.29949,0.64153
23.36041,0.61047
23.56345,0.49249
23.69543,0.41893
23.75635,0.39784
23.93909,0.31994
24.07107,0.27471
24.13198,0.25668
24.31472,0.20759
24.43655,0.18361
24.48731,0.16735
24.63959,0.14433
24.76142,0.12614
24.81218,0.12357
24.97462,0.10699
25.1066,0.10216
25.16751,0.09476
25.41117,0.09556
25.5533,0.09009
25.60406,0.08896
25.7665,0.08365
25.87817,0.08558
25.92893,0.07947
26.09137,0.07834
26.20305,0.0748
26.24365,0.07834
26.39594,0.07673
26.52792,0.07351
26.58883,0.07061
26.78173,0.07126
26.90355,0.07415
26.97462,0.07255
27.18782,0.07351
27.36041,0.06691
27.43147,0.0711
27.70558,0.07271
27.90863,0.07158
28.0,0.07142
28.33503,0.07045
28.59898,0.07496
28.72081,0.06884
29.04569,0.06739
29.28934,0.07126
29.39086,0.06884
29.68528,0.06965
29.87817,0.06756
29.95939,0.06546
30.25381,0.07077
30.48731,0.07158
30.59898,0.0711
30.95431,0.07238
31.15736,0.07206
31.24873,0.07238
31.53299,0.06804
31.72589,0.069
31.80711,0.06756
32.10152,0.06546
32.29442,0.06868
32.39594,0.06868
32.70051,0.06965
32.86294,0.07061
32.96447,0.07061
33.32995,0.07126
33.49239,0.0748
33.60406,0.07255
33.96954,0.07319
34.19289,0.06916
34.31472,0.06965
34.64975,0.07045
34.88325,0.06997
34.98477,0.07094
35.26904,0.06756
35.41117,0.06836
35.48223,0.06788
35.77665,0.07238
35.98985,0.06884
