Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.08832
0.0,0.08623
0.0,0.08542
0.0,0.0859
0.0,0.08526
0.0,0.08864
0.0,0.08623
0.0,0.08768
0.0,0.08011
0.0,0.08655
0.0,0.08719
0.0,0.0843
0.0,0.09009
0.0,0.08768
0.01015,0.09057
0.01015,0.08703
0.0,0.08462
0.01015,0.08623
0.01015,0.08365
0.01015,0.08478
0.0,0.08156
0.01015,0.08269
0.01015,0.08301
0.01015,0.08397
0.0,0.08607
0.0,0.08574
0.01015,0.08735
0.01015,0.08735
0.01015,0.08928
0.01015,0.09073
0.01015,0.088
0.01015,0.08719
0.01015,0.08961
0.01015,0.08961
0.0,0.08687
0.0,0.08655
0.0,0.08864
0.01015,0.08751
0.01015,0.08462
0.0,0.08574
0.0,0.08607
0.01015,0.08961
0.01015,0.08735
0.0,0.08832
0.0,0.08784
0.01015,0.08928
0.01015,0.08462
0.0,0.08671
0.0,0.08526
0.01015,0.08703
0.01015,0.08751
0.01015,0.08832
0.01015,0.08751
0.01015,0.08397
0.01015,0.08735
0.01015,0.0859
0.01015,0.08655
0.01015,0.08639
0.01015,0.09073
0.01015,0.08301
0.01015,0.08993
0.01015,0.0843
0.01015,0.08719
0.01015,0.09089
0.01015,0.08784
0.01015,0.08816
0.01015,0.09138
0.01015,0.09106
0.01015,0.08478
0.01015,0.08928
0.01015,0.08607
0.01015,0.08784
0.01015,0.08864
0.01015,0.08703
0.0,0.08719
0.0,0.08848
0.01015,0.09041
0.01015,0.08832
0.0,0.08687
0.01015,0.08413
0.01015,0.09138
0.01015,0.08832
0.01015,0.08639
0.01015,0.09073
0.01015,0.08671
0.01015,0.09041
0.01015,0.08623
0.01015,0.08768
0.01015,0.08719
0.01015,0.08687
0.01015,0.08671
0.0,0.09106
0.01015,0.08816
0.01015,0.0888
0.01015,0.08558
0.01015,0.08848
0.01015,0.08639
0.01015,0.08993
0.01015,0.08784
0.01015,0.08751
0.01015,0.08623
0.01015,0.08896
0.01015,0.08993
0.01015,0.08639
0.01015,0.08784
0.01015,0.08912
0.01015,0.08928
0.01015,0.09073
0.01015,0.08542
0.01015,0.08816
0.01015,0.08703
0.01015,0.08558
0.01015,0.08623
0.01015,0.08349
0.01015,0.08768
0.01015,0.08961
0.01015,0.08655
0.01015,0.08961
0.01015,0.08816
0.01015,0.08977
0.01015,0.09009
0.01015,0.088
0.01015,0.09186
0.01015,0.09299
0.01015,0.0888
0.01015,0.0946
0.01015,0.09057
0.01015,0.08961
0.01015,0.09009
0.01015,0.09122
0.01015,0.08832
0.01015,0.0851
0.01015,0.08735
0.01015,0.08526
0.01015,0.08977
0.01015,0.08832
0.01015,0.08977
0.01015,0.08816
0.01015,0.09154
0.01015,0.088
0.01015,0.08832
0.01015,0.08655
0.01015,0.08816
0.01015,0.08607
0.01015,0.08607
0.01015,0.08945
0.01015,0.09009
0.01015,0.09073
0.01015,0.09621
0.01015,0.08928
0.01015,0.08928
0.01015,0.08977
0.01015,0.0917
0.01015,0.09057
0.01015,0.08784
0.01015,0.09444
0.01015,0.0925
0.01015,0.09041
0.01015,0.0925
0.0,0.08993
0.0,0.09138
-0.01015,0.09154
-0.01015,0.08848
-0.01015,0.08864
0.0,0.09299
0.01015,0.09266
0.01015,0.09202
0.0203,0.09266
0.03046,0.08912
0.04061,0.09089
0.05076,0.09218
0.08122,0.09234
0.11168,0.09331
0.13198,0.08912
0.18274,0.09041
0.2335,0.08832
0.26396,0.088
0.35533,0.09266
0.4264,0.09154
0.45685,0.09315
0.56853,0.09025
0.62944,0.09009
0.6599,0.09283
0.76142,0.09476
0.85279,0.08945
0.91371,0.09331
1.09645,0.0946
1.23858,0.09427
1.32995,0.09331
1.53299,0.09057
1.66497,0.09444
1.72589,0.09476
1.91878,0.09266
2.05076,0.09588
2.11168,0.09524
2.24365,0.08961
2.35533,0.09379
2.39594,0.09621
2.50761,0.09411
2.58883,0.09411
2.61929,0.08687
2.76142,0.09427
2.86294,0.09089
2.91371,0.09637
3.1066,0.09331
3.24873,0.09444
3.32995,0.09202
3.61421,0.09186
3.84772,0.09299
3.95939,0.09154
4.32487,0.09154
4.51777,0.09588
4.59898,0.09138
4.8731,0.09427
5.06599,0.09057
5.14721,0.09411
5.41117,0.09283
5.62437,0.08751
5.70558,0.0917
6.0,0.09234
6.18274,0.08848
6.28426,0.09427
6.58883,0.0954
6.79188,0.09138
6.91371,0.09588
7.20812,0.09202
7.39086,0.09089
7.48223,0.0946
7.74619,0.09508
7.92893,0.09444
8.01015,0.09089
8.2132,0.09379
8.33503,0.09669
8.39594,0.09283
8.63959,0.08993
8.75127,0.09106
8.80203,0.09556
9.00508,0.09218
9.14721,0.09299
9.21827,0.09492
9.47208,0.09427
9.68528,0.09943
9.7868,0.09733
10.24365,0.09057
10.46701,0.09749
10.57868,0.09765
10.81218,0.09234
11.01523,0.09186
11.09645,0.09299
11.43147,0.09685
11.65482,0.09717
11.75635,0.09637
12.07107,0.0925
12.30457,0.09798
12.39594,0.09283
12.6802,0.09685
12.8731,0.09202
12.93401,0.09508
13.18782,0.09524
13.3401,0.09765
13.43147,0.09621
13.68528,0.09395
13.86802,0.09798
13.96954,0.09846
14.29442,0.09395
14.47716,0.09798
14.54822,0.09975
14.79188,0.09846
14.99492,0.09749
15.13706,0.10023
15.32995,0.10152
15.43147,0.10103
15.5533,0.09653
15.7665,0.10281
15.86802,0.10425
15.93909,0.09798
16.17259,0.09991
16.32487,0.10586
16.36548,0.10232
16.55838,0.10731
16.62944,0.11101
16.6599,0.11198
16.77157,0.10812
16.82234,0.11407
16.85279,0.11198
16.97462,0.11697
17.03553,0.11649
17.06599,0.10989
17.11675,0.12067
17.15736,0.11954
17.18782,0.12067
17.24873,0.12325
17.26904,0.12453
17.27919,0.12244
17.38071,0.1226
17.44162,0.12405
17.48223,0.12743
17.61421,0.13371
17.69543,0.1329
17.7868,0.13612
17.9797,0.14723
18.08122,0.14948
18.19289,0.15512
18.43655,0.16992
18.56853,0.18763
18.6802,0.19729
18.8934,0.23527
19.01523,0.25781
19.11675,0.28227
19.36041,0.34859
19.48223,0.3811
19.61421,0.42842
19.87817,0.5493
19.9797,0.62141
20.09137,0.68483
20.19289,0.7872
20.2335,0.8313
20.26396,0.86414
20.35533,0.93882
20.39594,0.97681
20.43655,1.01528
20.52792,1.0795
20.58883,1.11298
20.62944,1.14115
20.71066,1.19362
20.76142,1.21664
20.82234,1.24835
20.94416,1.30855
21.01523,1.34202
21.08629,1.36697
21.20812,1.4114
21.26904,1.42782
21.32995,1.44262
21.45178,1.46564
21.53299,1.45888
21.5533,1.46017
21.69543,1.44938
21.75635,1.43377
21.79695,1.4312
21.87817,1.39385
21.95939,1.36391
21.9797,1.34943
22.05076,1.30549
22.10152,1.27523
22.12183,1.2601
22.19289,1.21583
22.24365,1.18187
22.26396,1.16787
22.30457,1.11717
22.33503,1.09527
22.36548,1.08433
22.41624,1.042
22.4467,1.00353
22.47716,0.99451
22.55838,0.93834
22.63959,0.90325
22.67005,0.87766
22.80203,0.80104
22.8934,0.7534
22.93401,0.7299
23.08629,0.65006
23.20812,0.58649
23.24873,0.55928
23.40102,0.48057
23.51269,0.42215
23.58376,0.4104
23.75635,0.33925
23.87817,0.30239
23.92893,0.29306
24.09137,0.24316
24.22335,0.21837
24.29442,0.20405
24.45685,0.18216
24.58883,0.16526
24.63959,0.15463
24.82234,0.13709
24.93401,0.12679
24.97462,0.12695
25.09645,0.12293
25.16751,0.11552
25.18782,0.11407
25.23858,0.10715
25.25888,0.10184
25.25888,0.10651
25.30964,0.10635
25.35025,0.10699
25.42132,0.10377
25.46193,0.102
25.56345,0.10023
25.63452,0.09669
25.66497,0.10345
25.74619,0.10152
25.81726,0.09894
25.84772,0.10039
25.95939,0.09991
26.05076,0.0991
26.11168,0.09556
26.26396,0.10409
26.35533,0.0991
26.41624,0.09733
26.55838,0.09878
26.69036,0.09846
26.75127,0.09717
26.95431,0.09556
27.11675,0.09572
27.18782,0.10023
27.41117,0.09991
27.58376,0.09926
27.67513,0.09701
27.93909,0.09588
28.11168,0.08993
28.19289,0.09846
28.45685,0.09733
28.63959,0.09089
28.71066,0.10281
28.93401,0.10136
29.11675,0.0946
29.19797,0.09556
29.41117,0.09653
29.51269,0.09685
29.5736,0.09508
29.75635,0.09669
29.87817,0.09025
29.94924,0.10039
30.11168,0.09605
30.22335,0.09347
30.29442,0.10281
30.45685,0.09621
30.54822,0.09701
30.59898,0.09862
30.72081,0.09894
30.79188,0.09669
30.82234,0.09508
30.92386,0.09749
30.98477,0.09395
31.02538,0.09749
31.14721,0.09717
31.22843,0.09765
31.27919,0.09572
31.42132,0.09814
31.53299,0.09685
31.59391,0.08928
31.7868,0.09106
31.90863,0.09508
31.96954,0.09492
32.14213,0.09749
32.26396,0.09669
32.31472,0.09363
32.46701,0.09749
32.56853,0.09331
32.62944,0.09106
32.79188,0.09444
32.92386,0.09508
33.00508,0.09202
33.26904,0.09653
33.47208,0.09395
33.58376,0.09411
33.87817,0.09605
34.08122,0.09411
34.17259,0.09073
34.4264,0.09669
34.62944,0.09299
34.73096,0.09476
35.06599,0.09476
35.25888,0.09331
35.36041,0.09943
35.64467,0.09444
35.83756,0.09765
35.91878,0.09444
36.15228,0.09395
36.28426,0.10152
36.34518,0.0991
36.52792,0.10103
36.6599,0.09878
36.73096,0.09653
36.93401,0.09685
37.07614,0.09605
37.15736,0.0946
37.41117,0.09605
37.56345,0.09476
37.66497,0.09556
37.92893,0.09605
38.09137,0.09991
38.17259,0.09492
38.39594,0.09685
38.52792,0.10055
38.59898,0.09637
38.79188,0.10023
38.90355,0.09814
38.96447,0.09685
39.16751,0.09765
39.28934,0.09363
39.36041,0.09749
39.5736,0.09266
39.71574,0.10007
39.7868,0.09685
39.94924,0.09733
40.06091,0.09379
40.10152,0.09749
40.25381,0.09733
40.36548,0.09492
40.40609,0.10264
40.57868,0.09685
40.70051,0.09444
40.76142,0.09492
40.92386,0.09669
41.03553,0.09943
41.08629,0.09685
41.25888,0.09959
41.37056,0.0983
41.43147,0.09749
41.60406,0.09588
41.71574,0.09669
41.77665,0.10103
41.94924,0.09878
42.08122,0.10216
42.13198,0.09878
42.29442,0.09765
42.40609,0.09798
42.46701,0.10136
42.62944,0.09894
42.76142,0.0983
42.83249,0.09379
43.00508,0.10039
43.13706,0.10216
43.20812,0.09765
43.40102,0.10184
43.54315,0.0983
43.62437,0.09991
43.79695,0.09717
43.93909,0.09749
44.0,0.09846
44.2132,0.10313
44.36548,0.09991
44.4264,0.09508
44.57868,0.09749
44.69036,0.09685
44.73096,0.10071
44.86294,0.09749
44.93401,0.10071
44.97462,0.10007
45.07614,0.09959
45.16751,0.09926
45.20812,0.10232
45.36041,0.10281
45.48223,0.09926
45.53299,0.10264
45.71574,0.09588
45.84772,0.10264
45.90863,0.10136
46.06091,0.09798
46.2132,0.09395
46.28426,0.10281
46.47716,0.09959
46.60914,0.10103
46.6802,0.10264
46.85279,0.09894
46.99492,0.10361
47.03553,0.09991
47.20812,0.10361
47.3401,0.0991
47.39086,0.102
47.56345,0.10103
47.65482,0.09991
47.69543,0.10409
47.81726,0.102
47.92893,0.09798
47.9797,0.102
48.13198,0.1012
48.24365,0.102
48.30457,0.1012
48.4467,0.10087
48.56853,0.10441
48.62944,0.09814
48.84264,0.09653
48.98477,0.10087
49.04569,0.10586
49.20812,0.09749
