Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.08236
0.0,0.08735
0.0,0.08397
0.0,0.09057
0.0,0.0859
0.0,0.0859
0.0,0.08623
0.0,0.08494
0.0,0.08204
0.0,0.08703
0.0,0.08671
0.0,0.08928
0.0,0.08446
0.0,0.08397
0.0,0.08494
0.0,0.08381
0.0,0.088
0.0,0.08993
0.0,0.08671
0.0,0.08317
0.0,0.08413
0.0,0.08413
0.0,0.08993
0.0,0.08784
0.0,0.08478
0.0,0.08864
0.0,0.08607
0.0,0.08494
0.0,0.09009
0.0,0.09073
0.0,0.08462
0.0,0.08462
0.0,0.08735
0.0,0.09186
0.0,0.08961
0.0,0.08108
0.0,0.088
0.0,0.08607
0.0,0.08977
0.0,0.08977
0.0,0.08349
0.0,0.08912
0.0,0.08639
0.0,0.08301
0.0,0.08896
0.0,0.0843
0.0,0.08365
0.0,0.0851
0.0,0.08156
0.0,0.08655
0.0,0.08751
0.0,0.08494
0.0,0.08301
0.0,0.08333
0.0,0.08091
0.0,0.08333
0.0,0.08156
0.0,0.0822
0.0,0.08768
0.0,0.08446
0.0,0.08462
0.0,0.08751
0.0,0.08719
0.0,0.07914
0.0,0.0843
0.0,0.08735
0.0,0.08768
0.0,0.08832
0.0,0.08768
0.0,0.08768
0.0,0.0843
0.0,0.08961
0.0,0.08768
0.0,0.08204
0.0,0.08784
0.0,0.08413
0.0,0.08446
0.0,0.08413
0.0,0.08365
0.0,0.0859
0.0,0.0777
0.0,0.0851
0.0,0.0851
0.0,0.0888
0.0,0.08719
0.0,0.08269
0.0,0.08784
0.0,0.08655
0.0,0.08687
0.0,0.08542
0.0,0.08703
0.0,0.0843
0.0,0.0851
0.0,0.08381
0.0,0.08301
0.0,0.0859
0.0,0.0843
0.0,0.08735
0.0,0.08285
0.0,0.08381
0.0,0.08236
0.0,0.08124
0.0,0.08494
0.0,0.08397
0.0,0.08478
0.0,0.08365
0.0,0.0843
0.0,0.08607
0.0,0.08075
0.0,0.08285
0.0,0.08204
0.0,0.08269
0.0,0.08317
0.0,0.08526
0.0,0.08526
0.0,0.08172
0.0,0.0822
0.0,0.08607
0.0,0.08655
0.0,0.08639
0.0,0.08945
0.0,0.08816
0.0,0.08687
0.0,0.08558
0.0,0.09057
0.0,0.08896
0.0,0.08896
0.0,0.08687
0.0,0.08558
0.0,0.08462
0.0,0.08526
0.0,0.08462
0.0,0.08671
0.0,0.08816
0.0,0.08204
0.0,0.08945
0.0,0.08574
0.0,0.08623
0.0,0.08945
0.0,0.08912
0.0,0.08462
0.0,0.08703
0.0,0.08928
0.0,0.08703
0.0,0.08397
0.0,0.08993
0.0,0.08607
0.0,0.08768
0.0,0.08896
0.0,0.08961
0.0,0.08993
0.0,0.08784
0.0,0.09202
0.0,0.08768
0.0,0.08993
0.0,0.08478
0.0,0.08735
0.0,0.08558
0.0,0.08075
0.0,0.08381
0.0,0.08639
0.0,0.08574
0.0,0.08462
0.0,0.08768
0.0,0.08526
0.0,0.08671
0.0,0.09073
0.0,0.08381
0.0,0.08333
0.0,0.08397
0.0,0.0822
0.0,0.08108
0.0,0.08639
0.0,0.0859
0.0,0.08703
0.0,0.0822
0.0,0.08526
0.0,0.08735
0.0,0.08703
0.0,0.08172
0.0,0.08381
0.0,0.08623
0.0,0.0843
0.0,0.08413
0.0,0.08059
0.0,0.08542
0.0,0.0851
0.0,0.08285
0.0,0.08462
0.0,0.08542
0.0,0.08542
0.0,0.08526
0.0,0.08623
0.0,0.08558
0.0,0.0859
0.0,0.09202
0.0,0.08751
-0.01015,0.0851
-0.03046,0.09106
-0.05076,0.08751
-0.05076,0.08816
-0.05076,0.08687
-0.05076,0.08719
-0.04061,0.08719
-0.04061,0.08703
-0.04061,0.08977
-0.03046,0.0851
-0.03046,0.08703
-0.03046,0.088
-0.03046,0.08623
-0.04061,0.08735
-0.04061,0.08751
-0.04061,0.08639
-0.04061,0.08574
-0.04061,0.08993
-0.04061,0.08961
-0.04061,0.08317
-0.04061,0.09057
-0.03046,0.08719
-0.03046,0.08671
-0.0203,0.08912
0.0,0.08655
0.03046,0.08735
0.10152,0.0851
0.18274,0.09089
0.22335,0.08446
0.31472,0.0822
0.38579,0.08397
0.41624,0.08945
0.48731,0.08446
0.53807,0.08494
0.56853,0.0925
0.6599,0.08751
0.77157,0.0917
0.8731,0.09041
1.08629,0.08768
1.22843,0.0888
1.30964,0.08446
1.48223,0.08848
1.62437,0.08816
1.67513,0.08397
1.87817,0.09154
2.0203,0.08703
2.10152,0.08542
2.27411,0.08703
2.39594,0.08333
2.45685,0.08961
2.62944,0.08945
2.76142,0.08928
2.81218,0.08365
3.02538,0.08365
3.19797,0.08816
3.26904,0.09492
3.53299,0.09395
3.72589,0.08848
3.93909,0.08735
4.28426,0.09106
4.45685,0.0888
4.51777,0.0851
4.73096,0.08816
4.86294,0.09025
