t,x,y
6.931775,307.9346,-233.3428
6.965101,341.3034,-191.6481
6.998427,348.6253,-158.6177
7.031752,364.3544,-152.5104
7.065078,358.9591,-160.2055
7.098404,336.6197,-182.4764
7.13173,309.7055,-228.5252
7.165056,279.6184,-290.6364
7.198382,211.596,-340.1596
7.231707,117.5532,-355.1475
7.265033,16.32748,-369.3396
7.298359,-85.13103,-355.9349
7.331685,-186.2194,-329.154
7.365011,-254.6991,-286.6541
7.398337,-303.7457,-236.1005
7.431663,-317.2821,-190.0911
7.464988,-336.5562,-164.4853
7.498314,-329.3885,-156.0478
7.53164,-334.4654,-172.1802
7.564966,-303.5953,-199.8323
7.598292,-286.9587,-252.0407
7.631618,-242.0787,-307.4001
7.664943,-166.2102,-343.2213
7.698269,-77.9267,-359.3522
7.731595,17.13033,-369.4295
7.764921,115.5071,-357.2095
7.798247,213.4447,-330.5817
7.831573,270.324,-293.5934
7.864898,315.9091,-243.7079
7.898224,333.9062,-195.4954
7.93155,347.4033,-169.6809
7.964876,349.1787,-162.8602
7.998202,341.3093,-176.8379
8.031528,325.6652,-213.5899
8.064854,332.0769,-236.502
8.098179,235.193,-318.2233
8.131505,159.6794,-361.8183
8.164831,61.02431,-367.1034
8.198157,-40.38967,-365.738
8.231483,-135.6413,-339.3354
8.264809,-226.5542,-314.4888
8.298134,-271.3292,-259.4669
8.33146,-308.1848,-215.9975
8.364786,-338.1983,-185.9932
8.398112,-345.3613,-168.5417
8.431438,-323.5568,-170.1912
8.464764,-312.292,-194.2638
8.498089,-282.1558,-230.0644
8.531415,-255.2678,-285.5276
8.564741,-202.235,-336.5502
8.598067,-112.2962,-354.7357
8.631393,-27.21358,-381.8705
8.664719,76.13406,-364.0006
8.698044,170.5519,-354.6454
8.73137,243.9321,-318.5504
8.764696,282.1546,-254.6383
8.798022,319.242,-214.3737
8.831348,340.1289,-184.8331
8.864674,352.7457,-174.1056
8.898,349.8485,-180.5016
8.931325,325.3437,-203.0598
8.964651,298.2969,-248.6958
8.997977,252.6387,-302.7213
9.031303,184.2571,-351.7605
9.064629,90.34304,-363.2695
9.097955,-3.864647,-369.2926
9.13128,-101.0157,-352.1496
9.164606,-198.6589,-331.2305
9.197932,-259.5641,-285.875
9.231258,-299.4371,-237.5197
9.264584,-329.4195,-202.0188
9.29791,-339.5593,-180.1285
9.331235,-338.6083,-178.3741
9.364561,-319.8168,-194.1362
9.397887,-297.0282,-227.7992
9.431213,-255.2381,-267.6865
9.464539,-217.5834,-326.7739
9.497865,-131.4377,-347.3126
9.531191,-46.23877,-366.1018
9.564516,47.20802,-368.4404
9.597842,140.9515,-357.4448
9.631168,234.0445,-300.2524
9.664494,276.7579,-285.2008
9.69782,307.2091,-233.2607
9.731146,332.7416,-200.684
9.764471,348.6614,-185.5469
9.797797,346.7837,-185.529
9.831123,327.9939,-203.6141
9.864449,308.927,-247.7158
9.897775,261.429,-293.7485
9.931101,195.3262,-338.519
9.964426,111.2583,-363.0269
9.997752,16.57083,-369.7452
10.03108,-78.14727,-359.2957
10.0644,-175.5636,-342.1826
10.09773,-223.9606,-289.4597
10.13106,-289.6819,-254.9904
10.16438,-315.2203,-214.9871
10.19771,-332.6367,-191.1006
10.23103,-337.2043,-185.1172
10.26436,-316.2469,-195.3241
10.29768,-292.6131,-222.8731
10.33101,-262.43,-264.4556
10.36434,-223.4445,-318.9578
10.39766,-143.5423,-344.323
10.43099,-61.35272,-363.4963
10.46431,29.60693,-369.4048
10.49764,123.5536,-362.229
10.53097,217.1435,-324.9121
10.56429,264.5951,-298.5088
10.59762,309.8841,-256.9636
10.63094,321.5275,-209.9596
10.66427,341.521,-193.6643
10.69759,342.7404,-191.5469
10.73092,328.4654,-207.7662
10.76425,302.5889,-241.9057
10.79757,259.9937,-286.1428
10.8309,204.5083,-338.1758
10.86422,122.6487,-365.2304
10.89755,29.19944,-373.1043
10.93088,-64.84993,-362.5222
10.9642,-161.4481,-350.7618
10.99753,-231.45,-311.8936
11.03085,-279.6146,-265.9027
11.06418,-301.1509,-223.8856
11.09751,-309.515,-195.7349
11.13083,-314.5256,-187.8006
11.16416,-307.2994,-198.0378
