t,x,y
8.130598,251.72,-221.6406
8.16392,271.3268,-197.6551
8.197242,282.4709,-181.4856
8.230564,285.9164,-174.0608
8.263886,283.9036,-178.3747
8.297208,273.8566,-193.6225
8.33053,252.0118,-214.6086
8.363852,225.5232,-246.262
8.397175,186.754,-277.8528
8.430497,135.5762,-306.2359
8.463819,74.02038,-322.0428
8.497141,13.08581,-330.5813
8.530463,-56.11995,-329.4415
8.563785,-113.072,-316.472
8.597107,-164.9893,-291.6204
8.630429,-207.1157,-262.0885
8.663752,-237.1454,-229.797
8.697074,-254.7931,-202.0307
8.730396,-265.7147,-182.359
8.763718,-271.4346,-173.3978
8.79704,-271.1057,-175.6798
8.830362,-263.624,-187.6035
8.863684,-251.1561,-209.8606
8.897006,-229.5361,-239.5979
8.930329,-195.1478,-270.9382
8.963651,-147.2663,-296.1908
8.996973,-93.30948,-316.4083
9.030295,-33.3073,-327.912
9.063617,26.06399,-330.1937
9.096939,89.71013,-317.9316
9.130261,150.1198,-297.6953
9.163583,200.785,-266.6868
9.196906,225.4109,-248.689
9.230228,252.719,-220.7469
9.26355,270.9457,-197.5527
9.296872,281.0419,-182.7787
9.330194,284.3701,-178.1286
9.363516,280.3495,-184.0424
9.396838,268.902,-199.7617
9.43016,248.7341,-223.955
9.463482,218.612,-253.2339
9.496805,178.256,-284.3101
9.530127,127.8957,-304.2023
9.563449,66.86705,-325.3467
9.596771,-2.998908,-331.7664
9.630093,-66.86842,-327.8016
9.663415,-129.1902,-309.8088
9.696737,-166.091,-281.9216
9.730059,-211.4387,-257.8395
9.763382,-237.159,-225.9057
9.796704,-253.7073,-199.6976
9.830026,-265.2527,-183.6936
9.863348,-269.5726,-176.5611
9.89667,-267.1221,-180.2841
9.929992,-257.7432,-193.8504
9.963314,-241.308,-215.8061
9.996636,-221.4124,-247.7793
10.02996,-180.6448,-273.7522
10.06328,-135.4959,-301.8985
10.0966,-83.48837,-323.6811
10.12992,-27.12502,-331.8
10.16325,38.48518,-329.9921
10.19657,100.8043,-315.7129
10.22989,158.6779,-293.7702
10.26321,207.5061,-262.3868
10.29654,229.9313,-244.6159
10.32986,254.7761,-218.7238
10.36318,271.5528,-197.7654
