t,x,y
6.631066,37.32536,-370.62
6.664388,126.633,-339.5
6.69771,191.9959,-301.7968
6.731032,251.3912,-270.1148
6.764354,290.2594,-219.8048
6.797676,315.2697,-181.8004
6.830998,330.1281,-154.7396
6.86432,329.8712,-152.0817
6.897642,331.2709,-148.3942
6.930964,326.913,-158.1597
6.964286,315.4542,-182.156
6.997608,293.4314,-216.5996
7.03093,259.8817,-256.5051
7.064252,205.1028,-291.7746
7.097573,143.3284,-328.1525
7.130895,83.90265,-349.9841
7.164217,-13.57353,-360.8279
7.197539,-98.66344,-346.8449
7.230861,-156.8144,-324.7732
7.264183,-215.0353,-288.6105
7.297505,-272.2318,-254.5333
7.330827,-294.6012,-206.4102
7.364149,-322.5664,-176.512
7.397471,-322.9497,-150.0855
7.430793,-341.1408,-146.1773
7.464115,-338.4531,-150.6728
7.497437,-316.3161,-164.771
7.530759,-300.4519,-194.5569
7.564081,-279.7235,-238.3624
7.597403,-236.3721,-278.3802
7.630725,-182.4493,-320.762
7.664046,-123.7123,-346.6388
7.697368,-51.14616,-370.3564
7.73069,22.05,-366.2267
7.764012,103.4091,-349.0897
7.797334,183.8403,-318.5696
7.830656,223.9426,-278.1846
7.863978,282.2915,-232.9441
7.8973,309.461,-193.5821
7.930622,325.6529,-164.415
7.963944,326.4113,-160.193
7.997266,329.0857,-154.1948
8.030588,325.8475,-162.2427
8.06391,314.4216,-182.9602
8.097232,293.2294,-214.7657
8.130554,259.2211,-250.6439
8.163876,213.0683,-292.7748
8.197198,155.8769,-332.77
8.230519,76.56417,-350.9536
8.263841,-4.064651,-359.9548
8.297163,-74.65751,-352.8214
8.330485,-147.2569,-330.0679
8.363807,-208.5765,-300.3905
8.397129,-256.8673,-258.1696
8.430451,-289.6119,-216.4501
8.463773,-307.4804,-180.6742
8.497095,-319.081,-157.6312
8.530417,-338.6294,-152.2974
8.563739,-336.8554,-155.497
8.597061,-327.5959,-172.4916
8.630383,-304.8289,-198.3104
8.663705,-284.2945,-240.5085
8.697027,-234.8589,-272.4236
8.730349,-186.42,-318.446
8.763671,-126.7291,-350.4855
8.796992,-51.92402,-370.1039
8.830314,13.98927,-364.6274
8.863636,94.32812,-359.595
8.896958,164.4078,-324.2297
8.93028,219.5586,-288.5613
8.963602,277.1699,-239.5849
8.996924,305.3521,-200.7336
