 mass A  
t x y 
7.996719E1 2.997686E2 -4.297587E2
8.000061E1 2.743325E2 -4.404210E2
8.003402E1 2.447915E2 -4.576416E2
8.006744E1 2.075254E2 -4.756010E2
8.010086E1 1.660948E2 -4.909059E2
8.013428E1 1.182287E2 -5.051858E2
8.016769E1 6.744762E1 -5.149066E2
8.020111E1 1.533682E1 -5.189386E2
8.023453E1 -3.709184E1 -5.188943E2
8.026794E1 -8.701073E1 -5.128727E2
8.030136E1 -1.331499E2 -5.028288E2
8.033478E1 -1.780718E2 -4.921928E2
8.036820E1 -2.165075E2 -4.762010E2
8.040161E1 -2.483928E2 -4.600707E2
8.043503E1 -2.747230E2 -4.436245E2
8.046845E1 -2.946145E2 -4.294464E2
8.050186E1 -3.065419E2 -4.165324E2
8.053528E1 -3.148976E2 -4.093093E2
8.056870E1 -3.166847E2 -4.066907E2
8.060212E1 -3.141255E2 -4.092292E2
8.063553E1 -3.054361E2 -4.177119E2
8.066895E1 -2.915470E2 -4.296828E2
8.070237E1 -2.696697E2 -4.425727E2
8.073578E1 -2.429469E2 -4.591130E2
8.076920E1 -2.109103E2 -4.762292E2
8.080262E1 -1.725903E2 -4.905742E2
8.083604E1 -1.290959E2 -5.028009E2
8.086945E1 -8.392395E1 -5.148526E2
8.090287E1 -3.500499E1 -5.193766E2
8.093629E1 1.559528E1 -5.188094E2
8.096970E1 6.592741E1 -5.147919E2
8.100312E1 1.140460E2 -5.059913E2
8.103654E1 1.608858E2 -4.928973E2
8.106996E1 2.032793E2 -4.830448E2
8.110337E1 2.420976E2 -4.603938E2
8.113679E1 2.741997E2 -4.464226E2
8.117021E1 2.916454E2 -4.355909E2
8.120362E1 3.083354E2 -4.191324E2
8.123704E1 3.230799E2 -4.129226E2
8.127046E1 3.263382E2 -4.061439E2
8.130388E1 3.262305E2 -4.064099E2
8.133729E1 3.214223E2 -4.110649E2
8.137071E1 3.065571E2 -4.202054E2
8.140413E1 2.861708E2 -4.325358E2
8.143754E1 2.605977E2 -4.485317E2
8.147096E1 2.276898E2 -4.648198E2
8.150438E1 1.894958E2 -4.827186E2
8.153780E1 1.452860E2 -4.981799E2
8.157121E1 9.765704E1 -5.089542E2
8.160463E1 4.574448E1 -5.173522E2
8.163805E1 -5.183940E0 -5.207145E2
8.167146E1 -5.710279E1 -5.170370E2
8.170488E1 -1.067194E2 -5.102728E2
8.173830E1 -1.511916E2 -4.981534E2
8.177172E1 -1.928633E2 -4.856679E2
8.180513E1 -2.282472E2 -4.691466E2
8.183855E1 -2.558922E2 -4.512460E2
8.187197E1 -2.790919E2 -4.361594E2
8.190538E1 -2.957135E2 -4.234375E2
8.193880E1 -3.079342E2 -4.142331E2
8.197222E1 -3.171285E2 -4.121346E2
8.200564E1 -3.139674E2 -4.092781E2
8.203905E1 -3.111175E2 -4.161934E2
8.207247E1 -2.972216E2 -4.230150E2
8.210589E1 -2.797228E2 -4.355554E2
8.213930E1 -2.564320E2 -4.509415E2
8.217272E1 -2.274508E2 -4.667093E2
8.220614E1 -1.926968E2 -4.824021E2
8.223956E1 -1.529581E2 -4.964422E2
8.227297E1 -1.096681E2 -5.088969E2
8.230639E1 -6.290047E1 -5.160591E2
8.233981E1 -1.176902E1 -5.224258E2
8.237322E1 3.637971E1 -5.183916E2
8.240664E1 8.509344E1 -5.124418E2
8.244006E1 1.319297E2 -5.009313E2
8.247347E1 1.766928E2 -4.869095E2
8.250689E1 2.169585E2 -4.706633E2
8.254031E1 2.532454E2 -4.543357E2
8.257373E1 2.773824E2 -4.449473E2
8.260714E1 2.992156E2 -4.309966E2
8.264056E1 3.149016E2 -4.194655E2
8.267398E1 3.235048E2 -4.111469E2
8.270739E1 3.271027E2 -4.096853E2
8.274081E1 3.241801E2 -4.115901E2
8.277423E1 3.149274E2 -4.187420E2
8.280765E1 2.986260E2 -4.289605E2
8.284106E1 2.742796E2 -4.399803E2
8.287448E1 2.461253E2 -4.562744E2
8.290790E1 2.105512E2 -4.730632E2
8.294131E1 1.705074E2 -4.888775E2
8.297473E1 1.246053E2 -5.041919E2
8.300815E1 7.474241E1 -5.142046E2
8.304157E1 2.362135E1 -5.187127E2
8.307498E1 -2.720204E1 -5.188352E2
8.310840E1 -7.851932E1 -5.146719E2
8.314182E1 -1.262438E2 -5.050811E2
8.317523E1 -1.699778E2 -4.943712E2
8.320865E1 -2.081691E2 -4.792956E2
8.324207E1 -2.400890E2 -4.636387E2
8.327549E1 -2.671834E2 -4.481233E2
8.330890E1 -2.879721E2 -4.341897E2
8.334232E1 -3.017910E2 -4.224300E2
8.337574E1 -3.101205E2 -4.140580E2
8.340915E1 -3.122261E2 -4.102281E2
8.344257E1 -3.097816E2 -4.125389E2
8.347599E1 -3.020778E2 -4.191033E2
8.350941E1 -2.877966E2 -4.295732E2
8.354282E1 -2.681961E2 -4.430065E2
8.357624E1 -2.419381E2 -4.587153E2
8.360966E1 -2.105080E2 -4.747864E2
8.364307E1 -1.735502E2 -4.889590E2
8.367649E1 -1.331276E2 -5.026020E2
8.370991E1 -8.895015E1 -5.124936E2
8.374333E1 -4.118979E1 -5.185496E2
8.377674E1 2.966839E0 -5.219625E2
8.381016E1 5.605950E1 -5.160472E2
8.384358E1 1.054564E2 -5.086717E2
8.387699E1 1.511406E2 -4.965566E2
8.391041E1 1.940648E2 -4.835673E2
8.394383E1 2.306606E2 -4.629397E2
8.397725E1 2.647482E2 -4.458297E2
8.401066E1 2.852106E2 -4.395562E2
8.404408E1 3.049174E2 -4.270109E2
8.407750E1 3.173499E2 -4.172679E2
8.411091E1 3.237760E2 -4.126785E2
8.414433E1 3.242584E2 -4.124528E2
8.417775E1 3.184373E2 -4.164393E2
8.421117E1 3.055252E2 -4.257557E2
8.424458E1 2.870066E2 -4.385967E2
8.427800E1 2.598263E2 -4.487435E2
8.431142E1 2.280105E2 -4.654570E2
8.434483E1 1.910760E2 -4.825857E2
8.437825E1 1.485284E2 -4.968572E2
8.441167E1 1.019600E2 -5.088117E2
8.444509E1 5.234782E1 -5.167419E2
8.447850E1 -5.771658E-1 -5.202535E2
8.451192E1 -5.014764E1 -5.183837E2
8.454534E1 -9.902256E1 -5.116639E2
8.457875E1 -1.448482E2 -5.019084E2
8.461217E1 -1.860356E2 -4.882844E2
8.464559E1 -2.221643E2 -4.732088E2
8.467901E1 -2.519662E2 -4.572376E2
8.471242E1 -2.755353E2 -4.428846E2
8.474584E1 -2.938389E2 -4.302236E2
8.477926E1 -3.030782E2 -4.182540E2
8.481267E1 -3.087937E2 -4.127178E2
8.484609E1 -3.097103E2 -4.125282E2
8.487951E1 -3.049546E2 -4.163533E2
8.491293E1 -2.950747E2 -4.262592E2
8.494634E1 -2.789290E2 -4.383751E2
8.497976E1 -2.548746E2 -4.513594E2
8.501318E1 -2.261938E2 -4.664153E2
8.504659E1 -1.929241E2 -4.822354E2
8.508001E1 -1.549856E2 -4.962320E2
8.511343E1 -1.129932E2 -5.077967E2
8.514685E1 -6.844082E1 -5.149464E2
8.518026E1 -2.033652E1 -5.189187E2
8.521368E1 2.928608E1 -5.187119E2
8.524710E1 7.857290E1 -5.141885E2
8.528051E1 1.254626E2 -5.028500E2
8.531393E1 1.697438E2 -4.888567E2
8.534735E1 2.105756E2 -4.728556E2
8.538077E1 2.477858E2 -4.581578E2
8.541418E1 2.749853E2 -4.388406E2
8.544760E1 2.933947E2 -4.347186E2
8.548102E1 3.058112E2 -4.197791E2
8.551443E1 3.172035E2 -4.144920E2
8.554785E1 3.220647E2 -4.132361E2
8.558127E1 3.176237E2 -4.121322E2
8.561469E1 3.082250E2 -4.185375E2
8.564810E1 2.942349E2 -4.310585E2
8.568152E1 2.719897E2 -4.424859E2
8.571494E1 2.435169E2 -4.575771E2
8.574835E1 2.092992E2 -4.734431E2
8.578177E1 1.697041E2 -4.893160E2
8.581519E1 1.252278E2 -5.031004E2
8.584860E1 7.750588E1 -5.134393E2
8.588202E1 2.715513E1 -5.184539E2
8.591544E1 -2.296677E1 -5.189325E2
8.594886E1 -7.329363E1 -5.147014E2
8.598227E1 -1.193902E2 -5.068764E2
8.601569E1 -1.631488E2 -4.944333E2
8.604911E1 -2.011328E2 -4.801827E2
8.608252E1 -2.345510E2 -4.667938E2
8.611594E1 -2.611995E2 -4.511901E2
8.614936E1 -2.828675E2 -4.376266E2
8.618278E1 -2.951680E2 -4.241593E2
8.621619E1 -3.069506E2 -4.192423E2
8.624961E1 -3.083523E2 -4.148565E2
8.628303E1 -3.068000E2 -4.163915E2
8.631644E1 -2.988264E2 -4.222638E2
8.634986E1 -2.846615E2 -4.317786E2
8.638328E1 -2.669833E2 -4.461033E2
8.641670E1 -2.407321E2 -4.604265E2
8.645011E1 -2.097781E2 -4.747259E2
8.648353E1 -1.746667E2 -4.889297E2
8.651695E1 -1.349129E2 -5.024533E2
8.655036E1 -9.186450E1 -5.140208E2
8.658378E1 -4.440245E1 -5.182984E2
8.661720E1 1.655842E0 -5.223560E2
8.665062E1 5.349422E1 -5.166657E2
8.668403E1 1.019701E2 -5.086421E2
8.671745E1 1.475332E2 -4.982425E2
8.675087E1 1.891971E2 -4.828470E2
8.678428E1 2.270806E2 -4.721178E2
8.681770E1 2.609071E2 -4.547128E2
8.685112E1 2.819205E2 -4.423144E2
8.688454E1 3.002469E2 -4.302181E2
8.691795E1 3.123409E2 -4.207335E2
8.695137E1 3.188426E2 -4.161401E2
8.698479E1 3.196954E2 -4.160226E2
8.701820E1 3.114456E2 -4.151099E2
8.705162E1 3.021221E2 -4.286240E2
8.708504E1 2.831452E2 -4.407688E2
8.711846E1 2.560796E2 -4.517056E2
8.715187E1 2.253112E2 -4.675361E2
8.718529E1 1.884160E2 -4.828732E2
8.721871E1 1.462585E2 -4.975876E2
8.725212E1 1.012220E2 -5.120973E2
8.728554E1 5.198626E1 -5.167934E2
8.731896E1 8.178764E-1 -5.205870E2
8.735238E1 -4.738892E1 -5.181047E2
8.738579E1 -9.585942E1 -5.116810E2
8.741921E1 -1.400886E2 -5.013645E2
8.745263E1 -1.821328E2 -4.904668E2
8.748604E1 -2.172609E2 -4.749919E2
8.751946E1 -2.458570E2 -4.595043E2
8.755288E1 -2.705695E2 -4.454356E2
8.758630E1 -2.890824E2 -4.330455E2
8.761971E1 -2.997831E2 -4.235363E2
8.765313E1 -3.076182E2 -4.195034E2
8.768655E1 -3.058602E2 -4.163822E2
8.771996E1 -3.020791E2 -4.211580E2
8.775338E1 -2.917815E2 -4.293875E2
8.778680E1 -2.750566E2 -4.400354E2
8.782022E1 -2.520408E2 -4.532526E2
8.785363E1 -2.249481E2 -4.691487E2
8.788705E1 -1.910340E2 -4.826999E2
8.792047E1 -1.545658E2 -4.983490E2
8.795388E1 -1.118078E2 -5.077885E2
8.798730E1 -6.694876E1 -5.161943E2
8.802072E1 -1.883196E1 -5.198078E2
8.805414E1 3.094689E1 -5.187626E2
8.808755E1 7.828763E1 -5.129625E2
8.812097E1 1.242936E2 -5.028149E2
8.815439E1 1.683564E2 -4.906197E2
8.818780E1 2.078120E2 -4.748591E2
8.822122E1 2.438404E2 -4.583928E2
8.825464E1 2.739277E2 -4.469947E2
8.828806E1 2.881980E2 -4.380356E2
8.832147E1 3.037444E2 -4.274495E2
8.835489E1 3.138263E2 -4.204729E2
8.838831E1 3.177717E2 -4.176257E2
8.842172E1 3.152650E2 -4.185329E2
8.845514E1 3.048982E2 -4.228409E2
8.848856E1 2.893798E2 -4.323318E2
8.852198E1 2.675335E2 -4.440573E2
8.855539E1 2.392339E2 -4.594204E2
8.858881E1 2.048224E2 -4.761971E2
8.862223E1 1.656871E2 -4.915988E2
8.865564E1 1.214593E2 -5.047378E2
8.868906E1 7.477787E1 -5.146486E2
8.872248E1 2.587830E1 -5.187632E2
8.875590E1 -2.407793E1 -5.189269E2
8.878931E1 -7.265775E1 -5.147369E2
8.882273E1 -1.180071E2 -5.069264E2
8.885615E1 -1.616315E2 -4.966301E2
8.888956E1 -1.996971E2 -4.830074E2
8.892298E1 -2.316670E2 -4.683473E2
8.895640E1 -2.576281E2 -4.536120E2
8.898982E1 -2.759043E2 -4.373685E2
8.902323E1 -2.906303E2 -4.268907E2
8.905665E1 -2.998539E2 -4.195578E2
8.909007E1 -3.040061E2 -4.170608E2
8.912348E1 -3.033447E2 -4.209146E2
8.915690E1 -2.957923E2 -4.264463E2
8.919032E1 -2.810468E2 -4.342128E2
8.922374E1 -2.624290E2 -4.489209E2
8.925715E1 -2.364726E2 -4.617861E2
8.929057E1 -2.065275E2 -4.764378E2
8.932399E1 -1.711463E2 -4.905228E2
8.935740E1 -1.308425E2 -5.027673E2
8.939082E1 -8.773249E1 -5.138314E2
8.942424E1 -4.105476E1 -5.179391E2
8.945765E1 5.993447E0 -5.201747E2
8.949107E1 5.539758E1 -5.157814E2
8.952449E1 1.023410E2 -5.085973E2
8.955791E1 1.467617E2 -4.971528E2
8.959132E1 1.873628E2 -4.839214E2
8.962474E1 2.246794E2 -4.673820E2
8.965816E1 2.564277E2 -4.528946E2
8.969157E1 2.755873E2 -4.423173E2
8.972499E1 2.953608E2 -4.333098E2
8.975841E1 3.074467E2 -4.240314E2
8.979183E1 3.147896E2 -4.193671E2
8.982524E1 3.151977E2 -4.192800E2
8.985866E1 3.102438E2 -4.231021E2
8.989208E1 2.954861E2 -4.279952E2
8.992549E1 2.759945E2 -4.387448E2
8.995891E1 2.521856E2 -4.528691E2
8.999233E1 2.207015E2 -4.688514E2
9.002575E1 1.837580E2 -4.845875E2
9.005916E1 1.419791E2 -4.983529E2
9.009258E1 9.625902E1 -5.107880E2
9.012600E1 4.806463E1 -5.177688E2
9.015941E1 -2.084146E0 -5.221028E2
9.019283E1 -5.019573E1 -5.177031E2
9.022625E1 -9.719282E1 -5.110607E2
9.025967E1 -1.409065E2 -5.022571E2
9.029308E1 -1.819365E2 -4.909902E2
9.032650E1 -2.157286E2 -4.768023E2
9.035992E1 -2.446001E2 -4.617530E2
9.039333E1 -2.678277E2 -4.473408E2
9.042675E1 -2.831288E2 -4.329738E2
9.046017E1 -2.947399E2 -4.244534E2
9.049359E1 -3.005752E2 -4.197254E2
9.052700E1 -3.024686E2 -4.207177E2
9.056042E1 -2.978001E2 -4.244302E2
9.059384E1 -2.849594E2 -4.305730E2
9.062725E1 -2.688620E2 -4.416914E2
9.066067E1 -2.468153E2 -4.562644E2
9.069409E1 -2.187447E2 -4.707150E2
9.072751E1 -1.851763E2 -4.844981E2
9.076092E1 -1.480142E2 -4.982257E2
9.079434E1 -1.065369E2 -5.097566E2
9.082776E1 -6.160245E1 -5.163359E2
9.086117E1 -1.454268E1 -5.204031E2
9.089459E1 3.360134E1 -5.183214E2
9.092801E1 7.972052E1 -5.125780E2
9.096143E1 1.251817E2 -5.025266E2
9.099484E1 1.672360E2 -4.904310E2
9.102826E1 2.064324E2 -4.749491E2
9.106168E1 2.419331E2 -4.641944E2
9.109509E1 2.705254E2 -4.491323E2
9.112851E1 2.856226E2 -4.393080E2
9.116193E1 3.009403E2 -4.293184E2
9.119535E1 3.064123E2 -4.178935E2
9.122876E1 3.133667E2 -4.210482E2
9.126218E1 3.073039E2 -4.177771E2
9.129560E1 3.020492E2 -4.290194E2
9.132901E1 2.857262E2 -4.392231E2
9.136243E1 2.619437E2 -4.478912E2
9.139585E1 2.341073E2 -4.626020E2
9.142927E1 1.995603E2 -4.778400E2
9.146268E1 1.599814E2 -4.927358E2
9.149610E1 1.169096E2 -5.049491E2
9.152952E1 6.948127E1 -5.145259E2
9.156293E1 2.059162E1 -5.187852E2
9.159635E1 -2.900548E1 -5.190231E2
9.162977E1 -7.603268E1 -5.148743E2
9.166319E1 -1.210773E2 -5.061831E2
9.169660E1 -1.630472E2 -4.962290E2
9.173002E1 -2.001118E2 -4.830896E2
9.176344E1 -2.312487E2 -4.690483E2
9.179685E1 -2.565761E2 -4.551118E2
9.183027E1 -2.761558E2 -4.414249E2
9.186369E1 -2.882748E2 -4.290230E2
9.189711E1 -2.971401E2 -4.230018E2
9.193052E1 -3.025748E2 -4.234155E2
9.196394E1 -2.970169E2 -4.222462E2
9.199736E1 -2.894744E2 -4.297835E2
9.203077E1 -2.756932E2 -4.394936E2
9.206419E1 -2.554201E2 -4.518900E2
9.209761E1 -2.294215E2 -4.656530E2
9.213103E1 -1.997271E2 -4.815223E2
9.216444E1 -1.629344E2 -4.928106E2
9.219786E1 -1.237771E2 -5.046997E2
9.223128E1 -8.114755E1 -5.143327E2
9.226469E1 -3.569825E1 -5.189100E2
9.229811E1 1.108374E1 -5.189795E2
9.233153E1 5.832012E1 -5.154147E2
9.236495E1 1.046053E2 -5.084014E2
9.239836E1 1.473501E2 -4.968685E2
9.243178E1 1.882056E2 -4.847802E2
9.246520E1 2.249269E2 -4.698683E2
9.249861E1 2.564493E2 -4.545690E2
9.253203E1 2.740185E2 -4.436800E2
9.256545E1 2.911077E2 -4.324261E2
9.259887E1 3.035147E2 -4.250524E2
9.263228E1 3.101579E2 -4.225370E2
9.266570E1 3.093722E2 -4.225459E2
9.269912E1 3.030155E2 -4.269923E2
9.273253E1 2.908009E2 -4.361019E2
9.276595E1 2.693534E2 -4.442107E2
9.279937E1 2.440505E2 -4.567965E2
9.283279E1 2.132344E2 -4.722979E2
9.286620E1 1.767417E2 -4.888226E2
9.289962E1 1.345891E2 -5.007463E2
9.293304E1 8.956441E1 -5.120072E2
9.296645E1 4.169505E1 -5.182048E2
9.299987E1 -6.659562E0 -5.199462E2
9.303329E1 -5.642991E1 -5.168768E2
9.306670E1 -1.026704E2 -5.109676E2
9.310012E1 -1.449693E2 -5.003889E2
9.313354E1 -1.842570E2 -4.890718E2
9.316696E1 -2.175085E2 -4.753983E2
9.320037E1 -2.454350E2 -4.614025E2
9.323379E1 -2.666066E2 -4.477154E2
9.326721E1 -2.819790E2 -4.352810E2
9.330062E1 -2.939032E2 -4.283515E2
9.333404E1 -2.969902E2 -4.222873E2
9.336746E1 -2.966763E2 -4.226239E2
9.340088E1 -2.905450E2 -4.268829E2
9.343429E1 -2.788054E2 -4.347809E2
9.346771E1 -2.628679E2 -4.472991E2
9.350113E1 -2.391204E2 -4.601065E2
9.353454E1 -2.105921E2 -4.748719E2
9.356796E1 -1.772299E2 -4.881747E2
9.360138E1 -1.400116E2 -5.010401E2
9.363480E1 -9.866112E1 -5.121542E2
9.366821E1 -5.568508E1 -5.190503E2
9.370163E1 -6.093516E0 -5.210176E2
9.373505E1 3.888601E1 -5.188209E2
9.376846E1 8.504795E1 -5.123720E2
9.380188E1 1.293662E2 -5.023449E2
9.383530E1 1.711842E2 -4.889187E2
9.386872E1 2.088748E2 -4.731929E2
9.390213E1 2.424098E2 -4.585727E2
9.393555E1 2.708661E2 -4.481575E2
9.396897E1 2.823447E2 -4.356578E2
9.400238E1 2.960972E2 -4.277707E2
9.403580E1 3.044752E2 -4.225759E2
9.406922E1 3.069584E2 -4.225797E2
9.410264E1 3.047948E2 -4.264354E2
9.413605E1 2.943121E2 -4.335992E2
9.416947E1 2.753399E2 -4.413743E2
9.420289E1 2.533592E2 -4.544096E2
9.423630E1 2.242967E2 -4.671697E2
9.426972E1 1.899662E2 -4.830056E2
9.430314E1 1.509272E2 -4.955178E2
9.433656E1 1.075323E2 -5.078991E2
9.436997E1 6.106025E1 -5.164611E2
9.440339E1 1.292519E1 -5.189171E2
9.443681E1 -3.506829E1 -5.189427E2
9.447022E1 -8.258136E1 -5.136649E2
9.450364E1 -1.261927E2 -5.045760E2
9.453706E1 -1.676122E2 -4.954034E2
9.457048E1 -2.029122E2 -4.812497E2
9.460389E1 -2.329437E2 -4.682228E2
9.463731E1 -2.571550E2 -4.541166E2
9.467073E1 -2.762357E2 -4.422308E2
9.470414E1 -2.878043E2 -4.323577E2
9.473756E1 -2.950460E2 -4.262831E2
9.477098E1 -2.963805E2 -4.248128E2
9.480440E1 -2.930065E2 -4.271552E2
9.483781E1 -2.831209E2 -4.330116E2
9.487123E1 -2.687802E2 -4.444923E2
9.490465E1 -2.476502E2 -4.565445E2
9.493806E1 -2.215515E2 -4.705921E2
9.497148E1 -1.908096E2 -4.840249E2
9.500490E1 -1.547505E2 -4.967626E2
9.503832E1 -1.158424E2 -5.068127E2
9.507173E1 -7.250949E1 -5.147620E2
9.510515E1 -2.733697E1 -5.188795E2
9.513857E1 1.983312E1 -5.187560E2
9.517198E1 6.648517E1 -5.148067E2
9.520540E1 1.114380E2 -5.063354E2
9.523882E1 1.536064E2 -4.947654E2
9.527224E1 1.934773E2 -4.854502E2
9.530565E1 2.270782E2 -4.657402E2
9.533907E1 2.587040E2 -4.548005E2
9.537249E1 2.728805E2 -4.429361E2
9.540590E1 2.883799E2 -4.323579E2
9.543932E1 2.995882E2 -4.264051E2
9.547274E1 3.058623E2 -4.257636E2
9.550616E1 3.048275E2 -4.266007E2
9.553957E1 2.951169E2 -4.279852E2
9.557299E1 2.801355E2 -4.376943E2
9.560641E1 2.620525E2 -4.522918E2
9.563982E1 2.337533E2 -4.626414E2
9.567324E1 2.016086E2 -4.774160E2
9.570666E1 1.645716E2 -4.920873E2
9.574008E1 1.229828E2 -5.029018E2
9.577349E1 7.804053E1 -5.135603E2
9.580691E1 3.119072E1 -5.185253E2
9.584033E1 -1.555182E1 -5.198452E2
9.587374E1 -6.429592E1 -5.165243E2
9.590716E1 -1.092385E2 -5.084327E2
9.594058E1 -1.509738E2 -5.010444E2
9.597400E1 -1.889507E2 -4.883068E2
9.600741E1 -2.203034E2 -4.741420E2
9.604083E1 -2.463770E2 -4.606066E2
9.607425E1 -2.674595E2 -4.482656E2
9.610766E1 -2.830383E2 -4.381603E2
9.614108E1 -2.899572E2 -4.282393E2
9.617450E1 -2.939287E2 -4.252955E2
9.620792E1 -2.923741E2 -4.268695E2
9.624133E1 -2.851366E2 -4.310551E2
9.627475E1 -2.726862E2 -4.404965E2
9.630817E1 -2.549083E2 -4.523251E2
9.634158E1 -2.300436E2 -4.644898E2
9.637500E1 -2.010198E2 -4.781737E2
9.640842E1 -1.676856E2 -4.923138E2
9.644183E1 -1.299148E2 -5.039802E2
9.647525E1 -8.820729E1 -5.125373E2
9.650867E1 -4.344361E1 -5.180116E2
9.654209E1 2.119008E0 -5.195006E2
9.657550E1 4.933834E1 -5.168493E2
9.660892E1 9.446973E1 -5.100168E2
9.664234E1 1.374088E2 -5.002887E2
9.667575E1 1.772040E2 -4.868077E2
9.670917E1 2.128494E2 -4.721459E2
9.674259E1 2.436089E2 -4.572653E2
9.677601E1 2.710392E2 -4.486123E2
9.680942E1 2.843859E2 -4.385386E2
9.684284E1 2.988658E2 -4.309539E2
9.687626E1 3.043694E2 -4.263649E2
9.690967E1 3.051999E2 -4.263077E2
9.694309E1 3.000785E2 -4.299743E2
9.697651E1 2.871158E2 -4.366114E2
9.700993E1 2.680774E2 -4.437709E2
9.704334E1 2.439940E2 -4.569305E2
9.707676E1 2.133538E2 -4.718345E2
9.711018E1 1.778326E2 -4.869132E2
9.714359E1 1.378513E2 -4.990952E2
9.717701E1 9.393091E1 -5.102497E2
9.721043E1 4.784013E1 -5.168516E2
9.724385E1 1.067170E-1 -5.215497E2
9.727726E1 -4.609957E1 -5.184534E2
9.731068E1 -9.142816E1 -5.139441E2
9.734410E1 -1.335943E2 -5.036906E2
9.737751E1 -1.735906E2 -4.937572E2
9.741093E1 -2.067051E2 -4.799341E2
9.744435E1 -2.349305E2 -4.664489E2
9.747777E1 -2.578016E2 -4.537753E2
9.751118E1 -2.755674E2 -4.427458E2
9.754460E1 -2.849731E2 -4.321738E2
9.757802E1 -2.915938E2 -4.285876E2
9.761143E1 -2.927908E2 -4.284907E2
9.764485E1 -2.865639E2 -4.308314E2
9.767827E1 -2.765066E2 -4.387387E2
9.771169E1 -2.610110E2 -4.489681E2
9.774510E1 -2.387401E2 -4.617017E2
9.777852E1 -2.119821E2 -4.751421E2
9.781194E1 -1.797788E2 -4.882293E2
9.784535E1 -1.430471E2 -5.001362E2
9.787877E1 -1.024667E2 -5.107035E2
9.791219E1 -5.875629E1 -5.166637E2
9.794561E1 -1.242761E1 -5.189509E2
9.797902E1 3.320333E1 -5.190322E2
9.801244E1 7.816445E1 -5.126870E2
9.804586E1 1.218401E2 -5.041701E2
9.807927E1 1.618795E2 -4.926881E2
9.811269E1 1.987417E2 -4.786177E2
9.814611E1 2.318889E2 -4.690598E2
9.817953E1 2.591699E2 -4.541086E2
9.821294E1 2.779654E2 -4.442353E2
9.824636E1 2.924177E2 -4.350652E2
9.827978E1 3.004830E2 -4.290178E2
9.831319E1 3.039691E2 -4.274397E2
9.834661E1 2.990603E2 -4.266262E2
9.838003E1 2.895316E2 -4.323506E2
9.841345E1 2.735168E2 -4.405706E2
9.844686E1 2.519311E2 -4.543491E2
9.848028E1 2.228745E2 -4.669178E2
9.851370E1 1.902963E2 -4.830846E2
9.854711E1 1.511324E2 -4.960640E2
9.858053E1 1.090015E2 -5.068201E2
9.861395E1 6.375602E1 -5.149275E2
9.864737E1 1.737218E1 -5.188545E2
9.868078E1 -2.978133E1 -5.188420E2
9.871420E1 -7.620585E1 -5.147605E2
9.874762E1 -1.196626E2 -5.084038E2
9.878103E1 -1.595897E2 -4.989596E2
9.881445E1 -1.945465E2 -4.855880E2
9.884787E1 -2.248810E2 -4.719912E2
9.888129E1 -2.495402E2 -4.591019E2
9.891470E1 -2.680911E2 -4.472259E2
9.894812E1 -2.789226E2 -4.353670E2
9.898154E1 -2.866709E2 -4.297327E2
9.901495E1 -2.893336E2 -4.279077E2
9.904837E1 -2.864851E2 -4.298272E2
9.908179E1 -2.789599E2 -4.360740E2
9.911521E1 -2.651475E2 -4.459700E2
9.914862E1 -2.448814E2 -4.573950E2
9.918204E1 -2.196043E2 -4.707223E2
9.921546E1 -1.891045E2 -4.834442E2
9.924887E1 -1.544622E2 -4.968241E2
9.928229E1 -1.151635E2 -5.068304E2
9.931571E1 -7.369871E1 -5.153256E2
9.934913E1 -2.811274E1 -5.188294E2
9.938254E1 1.808713E1 -5.188204E2
9.941596E1 6.216030E1 -5.148362E2
9.944938E1 1.065884E2 -5.087620E2
9.948279E1 1.473316E2 -4.969292E2
9.951621E1 1.851216E2 -4.846211E2
9.954963E1 2.203914E2 -4.750630E2
9.958305E1 2.491093E2 -4.577800E2
9.961646E1 2.732894E2 -4.469251E2
9.964988E1 2.861289E2 -4.400468E2
9.968330E1 2.950828E2 -4.324320E2
9.971671E1 3.002766E2 -4.300453E2
9.975013E1 2.990010E2 -4.304252E2
9.978355E1 2.904199E2 -4.323932E2
9.981697E1 2.798561E2 -4.434134E2
9.985038E1 2.576696E2 -4.495333E2
9.988380E1 2.327690E2 -4.635029E2
9.991722E1 2.003670E2 -4.778935E2
9.995063E1 1.638442E2 -4.917327E2
9.998405E1 1.234258E2 -5.032955E2
1.000175E2 7.909501E1 -5.130141E2
1.000509E2 3.251324E1 -5.185070E2
1.000843E2 -1.381457E1 -5.193277E2
1.001177E2 -6.069683E1 -5.170438E2
1.001511E2 -1.045334E2 -5.097604E2
1.001846E2 -1.466130E2 -5.025530E2
1.002180E2 -1.831207E2 -4.900637E2
1.002514E2 -2.140515E2 -4.765591E2
1.002848E2 -2.398649E2 -4.635916E2
1.003182E2 -2.594940E2 -4.508042E2
1.003516E2 -2.738884E2 -4.393881E2
1.003851E2 -2.836125E2 -4.325327E2
1.004185E2 -2.878045E2 -4.294589E2
1.004519E2 -2.877872E2 -4.313384E2
1.004853E2 -2.803987E2 -4.358238E2
1.005187E2 -2.681017E2 -4.431597E2
1.005521E2 -2.497467E2 -4.538353E2
1.005856E2 -2.266579E2 -4.667581E2
1.006190E2 -1.981553E2 -4.800202E2
1.006524E2 -1.647879E2 -4.930410E2
1.006858E2 -1.277042E2 -5.041468E2
