Time (s),Position (m)
10:21:18.647,0.169
10:21:19.648,0.169
10:21:20.647,0.169
10:21:21.647,0.169
10:21:22.647,0.17
10:21:23.647,0.17
10:21:24.647,0.17
10:21:25.647,0.17
10:21:26.647,0.17
10:21:27.647,0.17
10:21:28.647,0.171
10:21:29.647,0.171
10:21:30.647,0.171
10:21:31.647,0.171
10:21:32.647,0.171
10:21:33.647,0.171
10:21:34.647,0.172
10:21:35.648,0.172
10:21:36.647,0.172
10:21:37.647,0.172
10:21:38.647,0.172
10:21:39.647,0.172
10:21:40.647,0.172
10:21:41.647,0.172
10:21:42.647,0.172
10:21:43.648,0.172
10:21:44.647,0.173
10:21:45.647,0.173
10:21:46.647,0.173
10:21:47.648,0.173
10:21:48.647,0.173
10:21:49.647,0.173
10:21:50.647,0.173
10:21:51.647,0.173
10:21:52.647,0.173
10:21:53.647,0.173
10:21:54.647,0.173
10:21:55.647,0.173
10:21:56.648,0.173
10:21:57.647,0.173
10:21:58.647,0.173
10:21:59.647,0.173
10:22:00.647,0.173
10:22:01.647,0.173
10:22:02.647,0.173
10:22:03.647,0.173
10:22:04.647,0.173
10:22:05.647,0.173
10:22:06.647,0.173
10:22:07.647,0.173
10:22:08.647,0.173
10:22:09.647,0.173
10:22:10.647,0.173
10:22:11.647,0.173
10:22:12.648,0.173
10:22:13.647,0.173
10:22:14.647,0.173
10:22:15.647,0.173
10:22:16.648,0.172
10:22:17.647,0.172
10:22:18.647,0.172
10:22:19.647,0.172
10:22:20.647,0.172
10:22:21.647,0.172
10:22:22.647,0.172
10:22:23.647,0.172
10:22:24.647,0.171
10:22:25.647,0.171
10:22:26.647,0.171
10:22:27.648,0.171
10:22:28.647,0.171
10:22:29.647,0.171
10:22:30.647,0.17
10:22:31.647,0.17
10:22:32.647,0.17
10:22:33.647,0.17
10:22:34.647,0.17
10:22:35.647,0.17
10:22:36.648,0.169
10:22:37.647,0.169
10:22:38.647,0.169
10:22:39.647,0.169
10:22:40.647,0.168
10:22:41.648,0.168
10:22:42.647,0.168
10:22:43.647,0.168
10:22:44.647,0.167
10:22:45.647,0.167
10:22:46.648,0.167
10:22:47.647,0.167
10:22:48.647,0.166
10:22:49.647,0.166
10:22:50.647,0.166
10:22:51.647,0.166
10:22:52.647,0.166
10:22:53.647,0.165
10:22:54.647,0.165
10:22:55.647,0.165
10:22:56.647,0.165
10:22:57.647,0.164
10:22:58.647,0.164
10:22:59.647,0.164
10:23:00.647,0.164
10:23:01.647,0.163
10:23:02.647,0.163
10:23:03.647,0.163
10:23:04.647,0.162
10:23:05.647,0.162
10:23:06.647,0.162
10:23:07.647,0.162
10:23:08.647,0.162
10:23:09.647,0.161
10:23:10.647,0.161
10:23:11.647,0.161
10:23:12.647,0.16
10:23:13.647,0.16
10:23:14.647,0.16
10:23:15.647,0.16
10:23:16.647,0.159
10:23:17.647,0.159
10:23:18.647,0.159
10:23:19.647,0.159
10:23:20.648,0.158
10:23:21.647,0.158
10:23:22.647,0.158
10:23:23.647,0.158
10:23:24.647,0.157
10:23:25.647,0.157
10:23:26.647,0.157
10:23:27.647,0.156
10:23:28.647,0.156
10:23:29.647,0.156
10:23:30.647,0.156
10:23:31.647,0.155
10:23:32.648,0.155
10:23:33.647,0.155
10:23:34.647,0.155
10:23:35.647,0.155
10:23:36.648,0.154
10:23:37.647,0.154
10:23:38.647,0.154
10:23:39.647,0.154
10:23:40.647,0.154
10:23:41.647,0.153
10:23:42.647,0.153
10:23:43.647,0.153
10:23:44.647,0.153
10:23:45.647,0.152
10:23:46.647,0.152
10:23:47.647,0.152
10:23:48.648,0.152
10:23:49.647,0.152
10:23:50.647,0.151
10:23:51.647,0.151
10:23:52.647,0.151
10:23:53.647,0.151
10:23:54.647,0.151
10:23:55.647,0.15
10:23:56.647,0.15
10:23:57.647,0.15
10:23:58.648,0.15
10:23:59.647,0.15
10:24:00.647,0.149
10:24:01.647,0.149
10:24:02.647,0.149
10:24:03.647,0.149
10:24:04.647,0.149
10:24:05.648,0.149
10:24:06.647,0.149
10:24:07.647,0.148
10:24:08.647,0.148
10:24:09.647,0.148
10:24:10.648,0.148
10:24:11.647,0.148
10:24:12.647,0.148
10:24:13.647,0.148
10:24:14.647,0.148
10:24:15.647,0.148
10:24:16.647,0.148
10:24:17.647,0.147
10:24:18.647,0.147
10:24:19.647,0.147
10:24:20.647,0.147
10:24:21.647,0.147
10:24:22.647,0.147
10:24:23.647,0.147
10:24:24.647,0.147
10:24:25.647,0.147
10:24:26.648,0.147
10:24:27.647,0.147
10:24:28.647,0.147
10:24:29.647,0.147
10:24:30.647,0.147
10:24:31.647,0.147
10:24:32.647,0.147
10:24:33.647,0.147
10:24:34.647,0.147
10:24:35.647,0.147
10:24:36.647,0.147
10:24:37.650,0.147
10:24:38.647,0.147
10:24:39.647,0.147
10:24:40.647,0.147
10:24:41.647,0.147
10:24:42.647,0.147
10:24:43.647,0.147
10:24:44.647,0.147
10:24:45.647,0.147
10:24:46.647,0.148
10:24:47.647,0.148
10:24:48.647,0.148
10:24:49.647,0.148
10:24:50.647,0.148
10:24:51.647,0.148
10:24:52.648,0.148
10:24:53.647,0.148
10:24:54.647,0.148
10:24:55.647,0.149
10:24:56.647,0.149
10:24:57.647,0.149
10:24:58.647,0.149
10:24:59.647,0.149
10:25:00.647,0.149
10:25:01.647,0.149
10:25:02.647,0.15
10:25:03.647,0.15
10:25:04.647,0.15
10:25:05.647,0.15
10:25:06.647,0.15
10:25:07.647,0.151
10:25:08.647,0.151
10:25:09.647,0.151
10:25:10.648,0.151
10:25:11.647,0.151
10:25:12.647,0.151
10:25:13.647,0.152
10:25:14.647,0.152
10:25:15.647,0.152
10:25:16.647,0.152
10:25:17.647,0.152
10:25:18.648,0.152
10:25:19.647,0.153
10:25:20.647,0.153
10:25:21.647,0.153
10:25:22.647,0.153
10:25:23.647,0.154
10:25:24.647,0.154
10:25:25.647,0.154
10:25:26.647,0.154
10:25:27.647,0.154
10:25:28.647,0.154
10:25:29.648,0.155
10:25:30.647,0.155
10:25:31.647,0.155
10:25:32.647,0.155
10:25:33.647,0.156
10:25:34.648,0.156
10:25:35.647,0.156
10:25:36.647,0.156
10:25:37.647,0.156
10:25:38.647,0.157
10:25:39.647,0.157
10:25:40.647,0.157
10:25:41.647,0.158
10:25:42.647,0.158
10:25:43.647,0.158
10:25:44.647,0.158
10:25:45.647,0.158
10:25:46.647,0.159
10:25:47.647,0.159
10:25:48.647,0.159
10:25:49.647,0.159
10:25:50.647,0.16
10:25:51.648,0.16
10:25:52.647,0.16
10:25:53.647,0.16
10:25:54.647,0.161
10:25:55.647,0.161
10:25:56.647,0.161
10:25:57.647,0.161
10:25:58.647,0.162
10:25:59.647,0.162
10:26:00.647,0.162
10:26:01.647,0.162
10:26:02.647,0.162
10:26:03.647,0.163
10:26:04.647,0.163
10:26:05.647,0.163
10:26:06.647,0.163
10:26:07.647,0.164
10:26:08.648,0.164
10:26:09.647,0.164
10:26:10.647,0.164
10:26:11.647,0.164
10:26:12.647,0.165
10:26:13.647,0.165
10:26:14.647,0.165
10:26:15.647,0.165
10:26:16.647,0.165
10:26:17.647,0.165
10:26:18.648,0.166
10:26:19.647,0.166
10:26:20.647,0.166
10:26:21.647,0.166
10:26:22.648,0.166
10:26:23.647,0.166
10:26:24.647,0.167
10:26:25.647,0.167
10:26:26.647,0.167
10:26:27.647,0.167
10:26:28.647,0.167
10:26:29.647,0.167
10:26:30.647,0.168
10:26:31.647,0.168
10:26:32.647,0.168
10:26:33.647,0.168
10:26:34.647,0.168
10:26:35.647,0.168
10:26:36.647,0.168
10:26:37.648,0.168
10:26:38.647,0.168
10:26:39.647,0.169
10:26:40.647,0.169
10:26:41.647,0.169
10:26:42.647,0.169
10:26:43.647,0.169
10:26:44.647,0.169
10:26:45.647,0.17
10:26:46.647,0.17
10:26:47.647,0.17
10:26:48.647,0.17
10:26:49.647,0.17
10:26:50.647,0.17
10:26:51.647,0.17
10:26:52.647,0.17
10:26:53.647,0.17
10:26:54.647,0.17
10:26:55.647,0.17
10:26:56.647,0.17
10:26:57.647,0.17
10:26:58.647,0.17
10:26:59.647,0.17
10:27:00.647,0.17
10:27:01.647,0.17
10:27:02.647,0.17
10:27:03.647,0.17
10:27:04.647,0.17
10:27:05.648,0.17
10:27:06.647,0.17
10:27:07.647,0.17
10:27:08.647,0.17
10:27:09.647,0.17
10:27:10.647,0.17
10:27:11.647,0.17
10:27:12.647,0.17
10:27:13.647,0.17
10:27:14.647,0.17
10:27:15.647,0.17
10:27:16.647,0.17
10:27:17.647,0.17
10:27:18.647,0.17
10:27:19.647,0.17
10:27:20.647,0.17
10:27:21.647,0.17
10:27:22.647,0.17
10:27:23.648,0.17
10:27:24.647,0.169
10:27:25.647,0.169
10:27:26.647,0.169
10:27:27.647,0.169
10:27:28.647,0.169
10:27:29.647,0.169
10:27:30.647,0.169
10:27:31.647,0.168
10:27:32.647,0.168
10:27:33.647,0.168
10:27:34.647,0.168
10:27:35.647,0.168
10:27:36.647,0.168
10:27:37.647,0.168
10:27:38.647,0.168
10:27:39.648,0.167
10:27:40.647,0.167
