Time (s),Position (m)
10:53:36.647,0.17
10:53:37.648,0.17
10:53:38.647,0.169
10:53:39.647,0.169
10:53:40.647,0.169
10:53:41.647,0.169
10:53:42.647,0.169
10:53:43.647,0.168
10:53:44.647,0.168
10:53:45.647,0.168
10:53:46.647,0.168
10:53:47.647,0.168
10:53:48.647,0.168
10:53:49.648,0.168
10:53:50.647,0.167
10:53:51.647,0.167
10:53:52.647,0.167
10:53:53.647,0.167
10:53:54.647,0.167
10:53:55.647,0.167
10:53:56.647,0.167
10:53:57.647,0.167
10:53:58.647,0.166
10:53:59.647,0.166
10:54:00.647,0.166
10:54:01.647,0.166
10:54:02.647,0.166
10:54:03.647,0.166
10:54:04.647,0.166
10:54:05.647,0.166
10:54:06.647,0.166
10:54:07.647,0.166
10:54:08.647,0.166
10:54:09.647,0.166
10:54:10.647,0.166
10:54:11.647,0.166
10:54:12.647,0.166
10:54:13.647,0.166
10:54:14.647,0.166
10:54:15.648,0.166
10:54:16.647,0.166
10:54:17.647,0.166
10:54:18.647,0.166
10:54:19.647,0.166
10:54:20.648,0.166
10:54:21.647,0.166
10:54:22.647,0.166
10:54:23.647,0.166
10:54:24.647,0.166
10:54:25.647,0.166
10:54:26.647,0.166
10:54:27.647,0.167
10:54:28.647,0.167
10:54:29.647,0.167
10:54:30.647,0.167
10:54:31.647,0.167
10:54:32.647,0.167
10:54:33.647,0.167
10:54:34.647,0.167
10:54:35.647,0.167
10:54:36.647,0.167
10:54:37.648,0.168
10:54:38.647,0.168
10:54:39.648,0.168
10:54:40.647,0.168
10:54:41.647,0.168
10:54:42.647,0.168
10:54:43.647,0.168
10:54:44.648,0.169
10:54:45.647,0.169
10:54:46.647,0.169
10:54:47.647,0.169
10:54:48.647,0.169
10:54:49.647,0.17
10:54:50.647,0.17
10:54:51.647,0.17
10:54:52.647,0.17
10:54:53.647,0.17
10:54:54.647,0.17
10:54:55.648,0.17
10:54:56.647,0.171
10:54:57.647,0.171
10:54:58.647,0.171
10:54:59.647,0.171
10:55:00.647,0.171
10:55:01.647,0.172
10:55:02.647,0.172
10:55:03.647,0.172
10:55:04.647,0.172
10:55:05.647,0.173
10:55:06.647,0.173
10:55:07.648,0.173
10:55:08.647,0.173
10:55:09.647,0.174
10:55:10.647,0.174
10:55:11.647,0.174
10:55:12.647,0.174
10:55:13.647,0.175
10:55:14.647,0.175
10:55:15.647,0.175
10:55:16.647,0.175
10:55:17.647,0.175
10:55:18.647,0.176
10:55:19.647,0.176
10:55:20.647,0.176
10:55:21.647,0.177
10:55:22.648,0.177
10:55:23.647,0.177
10:55:24.647,0.177
10:55:25.647,0.178
10:55:26.648,0.178
10:55:27.647,0.178
10:55:28.647,0.178
10:55:29.647,0.179
10:55:30.647,0.179
10:55:31.647,0.179
10:55:32.647,0.179
10:55:33.648,0.18
10:55:34.647,0.18
10:55:35.648,0.18
10:55:36.647,0.18
10:55:37.647,0.181
10:55:38.647,0.181
10:55:39.647,0.181
10:55:40.647,0.181
10:55:41.647,0.181
10:55:42.647,0.182
10:55:43.648,0.182
10:55:44.647,0.182
10:55:45.647,0.182
10:55:46.647,0.183
10:55:47.648,0.183
10:55:48.647,0.183
10:55:49.647,0.183
10:55:50.647,0.184
10:55:51.648,0.184
10:55:52.647,0.184
10:55:53.647,0.184
10:55:54.647,0.184
10:55:55.648,0.185
10:55:56.647,0.185
10:55:57.647,0.185
10:55:58.647,0.185
10:55:59.647,0.186
10:56:00.647,0.186
10:56:01.647,0.186
10:56:02.647,0.186
10:56:03.647,0.186
10:56:04.647,0.187
10:56:05.647,0.187
10:56:06.647,0.187
10:56:07.647,0.187
10:56:08.647,0.187
10:56:09.647,0.187
10:56:10.647,0.188
10:56:11.648,0.188
10:56:12.648,0.188
10:56:13.648,0.188
10:56:14.648,0.188
10:56:15.647,0.188
10:56:16.647,0.188
10:56:17.648,0.188
10:56:18.647,0.189
10:56:19.648,0.189
10:56:20.647,0.189
10:56:21.647,0.189
10:56:22.647,0.189
10:56:23.647,0.189
