Time,Position
12:15:28.647090,0.2
12:15:58.647074,0.201
12:16:12.647000,0.202
12:16:13.647000,0.201
12:16:16.147000,0.202
12:16:18.647000,0.201
12:16:52.647044,0.202
12:17:26.648000,0.201
12:17:27.647000,0.202
12:17:29.147000,0.201
12:17:30.647000,0.202
12:17:44.647074,0.201
12:17:58.647000,0.2
12:18:00.147500,0.201
12:18:22.647046,0.2
12:18:45.147000,0.199
12:18:46.648000,0.2
12:19:24.647106,0.199
12:20:25.647106,0.2
12:20:49.647000,0.201
12:20:50.647000,0.2
12:20:52.647000,0.201
12:20:54.647000,0.2
12:21:52.647026,0.201
12:23:24.647072,0.2
12:24:26.647072,0.199
12:24:54.647000,0.2
12:24:55.648000,0.199
12:25:30.647086,0.2
12:26:05.647000,0.201
12:26:07.147500,0.2
12:26:34.147115,0.201
